Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestion de planificacion para verificacion de los indicadores y metas cuantificables por procesos o niveles
Rectorado;OE1. OE2. OE3 y OE4;;;No aplica
Vicerrectorado Docencia;OE1. Incrementar la calidad académica, la innovación educativa y la proyección de la Universidad, fortaleciendo el dominio de seguridad y defensa.;IE1.1 Porcentaje de la oferta académica vigente (grado) acreditada;52,17%;No aplica
Vicerrectorado Docencia;OE1. Incrementar la calidad académica, la innovación educativa y la proyección de la Universidad, fortaleciendo el dominio de seguridad y defensa.;IE1.2 Porcentaje de la oferta académica vigente (posgrado) acreditada;8,50%;No aplica
Vicerrectorado Docencia;OE1. Incrementar la calidad académica, la innovación educativa y la proyección de la Universidad, fortaleciendo el dominio de seguridad y defensa.;IE1.3 Tasa de titulación institucional – oferta académica de grado;50,00%;No aplica
Vicerrectorado Docencia;OE1. Incrementar la calidad académica, la innovación educativa y la proyección de la Universidad, fortaleciendo el dominio de seguridad y defensa.;IE1.4 Tasa de titulación institucional – oferta académica de posgrado;83,33%;No aplica
Vicerrectorado de Investigacion Innovacion y transferencia de tecnologia;OE2. Incrementar la calidad, el impacto y la visibilidad del conocimiento científico generado en la Universidad.;IE2.1 Índice de producción académica per cápita;0,3;No aplica
Vicerrectorado de Investigacion Innovacion y transferencia de tecnologia;OE2. Incrementar la calidad, el impacto y la visibilidad del conocimiento científico generado en la Universidad.;IE2.2 Porcentaje de proyectos de investigación con financiamiento externo o en red;25,00%;No aplica
Vicerrectorado de Investigacion Innovacion y transferencia de tecnologia;OE2. Incrementar la calidad, el impacto y la visibilidad del conocimiento científico generado en la Universidad.;IE2.3 Número de proyectos de investigación con resultados transferibles;1;No aplica
Vicerrectorado de Investigacion Innovacion y transferencia de tecnologia;OE2. Incrementar la calidad, el impacto y la visibilidad del conocimiento científico generado en la Universidad.;IE2.4 Número de resultados de docencia, investigación y vinculación transferidos;16;No aplica
Vicerrectorado de Investigacion Innovacion y transferencia de tecnologia;OE3. Incrementar el posicionamiento nacional e internacional y asegurar la sostenibilidad financiera institucional.;IE3.1 Porcentaje de ingresos de autogestión respecto al presupuesto total;74%;No aplica
Vicerrectorado de Investigacion Innovacion y transferencia de tecnologia;OE3. Incrementar el posicionamiento nacional e internacional y asegurar la sostenibilidad financiera institucional.;IE3.2 Porcentaje de actores clave con alianzas o acuerdos efectivos;72,50%;No aplica
Vicerrectorado Administrativo;OE3. Incrementar el posicionamiento nacional e internacional y asegurar la sostenibilidad financiera institucional.;IE3.3 Tasa de movilidad de la comunidad universitaria;0,26%;No aplica
Vicerrectorado Administrativo;OE4. Incrementar la efectividad institucional optimizando la gestión de recursos y procesos.;IE4.1 Porcentaje de reducción de solicitudes de acciones correctivas del SGI;5%;No aplica
Vicerrectorado Administrativo;OE4. Incrementar la efectividad institucional optimizando la gestión de recursos y procesos.;IE4.2 Porcentaje de procesos institucionales automatizados;27%;No aplica
Vicerrectorado Administrativo;OE4. Incrementar la efectividad institucional optimizando la gestión de recursos y procesos.;IE4.3 Porcentaje de ejecución del presupuesto;76,17%;No aplica
Vicerrectorado Administrativo;OE4. Incrementar la efectividad institucional optimizando la gestión de recursos y procesos.;IE4.4 Porcentaje de recaudación de ingresos;84,73%;No aplica
Vicerrectorado Administrativo;OE4. Incrementar la efectividad institucional optimizando la gestión de recursos y procesos.;IE4.5 Índice de percepción de la calidad del servicio;3,95;No aplica
