Institucion;Universidad de las Fuerzas Armadas ESPE
Descripcion;Detalle de Audiencias y reuniones
Nombre del campo;Descripcion del campo
Apellidos y Nombres;Nombres y Apellidos de la autoridad
Puesto institucional;Puesto al que pertenece la autoridad
Asunto;Tema tratado en la audiencia o reunion
Fecha de la audiencia o reunion;Fecha en la que se realiza la audiencia o reunion
Modalidad;Modalidad en la que se realiza la reunion  - presencial o virtual
Lugar;Lugar en el que se realiza la reunion  presencial.  Si la reunion es telematica en conjunto de datos se debe incluir NO APLICA
Descripcion de la audiencia o reunion;Resumen de lo tratado en la audiencia o reunion
Duracion;Tiempo de duracion de la audiencia o reunion
Nombre de personas externas;Personas externas a la institucion que participan
Institucion externa;Nombre de la institucion externa
Enlace para descargar el registro de asistencia de las personas que participaron en la reunion o audiencia;NO DISPONIBLE
