Tipo;Fecha de suscripcion;Objeto;Nombre de la organizacion, persona natural o persona juridica;Plazo de duracion;Enlace para descargar el convenio
NACIONAL;24/9/2015;Cooperación técnica interinstitucional;INSTITUCIONES DE EDUCACIÓN SUPERIOR QUE CONFORMAN LA RED NACIONAL DE CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEPORTE DEL ECUADOR;10 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;31/12/2018;Cooperación técnica interinstitucional;UCE, UTN, UTA, U DE CUENCA, UTC, UNACH, U DE GUAYAQUIL, UCC, UTM, U. T. MACHALA, ULEAM, UTB, UEM, UPS, UTLVT;6 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;31/12/2018;Cooperación técnica interinstitucional;"MINISTERIO DE DEFENSA NACIONAL - MIDENA

ESPE-INNOVATIVA";5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;31/12/2018;Cooperación técnica interinstitucional;MINISTERIO DE DEFENSA NACIONAL;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;1/8/2019;Cooperación técnica interinstitucional;GOBIERNO AUTÓNOMO DECENTRALIZADO MUNICIPAL DEL CANTON DE GUAMOTE;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;14/3/2019;Cooperación técnica interinstitucional;UNIVERSIDAD CATÓLICA DE SANTIAGO DE GUAYAQUIL - UCSG;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;1/8/2019;Cooperación técnica interinstitucional;GAD MUNICIPAL GUAMOTE;6 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;20/5/2019;Cooperación técnica interinstitucional;UNIVERSIDAD INTERNACIONAL SEK;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;31/1/2019;Cooperación técnica interinstitucional;UNIVERSIDAD TÉCNICA DE MANABÍ, UNIVERSIDAD ESTATAL DE MILAGRO, UNIVERSIDAD TÉCNICA DEL NORTE, UNIVERSIDAD CENTRAL DEL ECUADOR Y LA UNIVERSIDAD DE LAS FUERZAS ARMADAS ESPE;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;17/9/2019;Cooperación técnica interinstitucional;SECRETARÍA DE EDUCACIÓN SUPERIOR, CIENCIA, TECNOLOGÍA E INNOVACIÓN - SENESCYT;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;6/2/2019;Cooperación técnica interinstitucional;MINISTERIO DE TELECOMUNICACIONES Y DE LA SOCIEDAD DE LA INFORMACIÓN - MINTEL;10 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;26/3/2019;Cooperación técnica interinstitucional;COMANDO CONJUNTO DE LAS FUERZAS ARMADAS - COMACO;5 años;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;27/2/2020;Cooperación técnica interinstitucional;MINISTERIO DE SALUD;10 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;3/3/2020;Cooperación técnica interinstitucional;JUNTA INTERAMERICANA DE DEFENSA;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;27/2/2020;Cooperación técnica interinstitucional;MINISTERIO DE SALUD PÚBLICA;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;2/2/2020;Cooperación técnica interinstitucional;MINISTERIO DE ENERGÍA Y RECURSOS NATURALES NO RENOVABLES;4 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;25/11/2020;Cooperación técnica interinstitucional;EMCO EP;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;31/12/2020;Cooperación técnica interinstitucional;DIRECCIÓN NACIONAL DE INTERESES MARÍTIMOS -DIGEIM;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;25/11/2020;Cooperación técnica interinstitucional;EMPRESA COORDINADORA DE EMPRESAS PÚBLICAS - EMCO EP;10 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;8/12/2020;Cooperación técnica interinstitucional;ESCUELA POLITÉCNICA NACIONAL - EPN;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;14/1/2021;Cooperación técnica interinstitucional;ARMADA DEL ECUADOR;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;25/1/2021;Cooperación técnica interinstitucional;ASOCID;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;25/5/2021;Cooperación técnica interinstitucional;ASOCID;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;28/4/2021;Cooperación técnica interinstitucional;CAE-P;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;25/2/2021;Cooperación técnica interinstitucional;CONSEJO DE ASEGURAMIENTO DE LA CALIDAD DE LA EDUCACIÓN SUPERIOR - CACES;10 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;15/9/2021;Cooperación académica;ESCUELA SUPERIOR POLITECNICA DEL LITORAL;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;13/5/2021;Cooperación técnica interinstitucional;FAE - INNOVATIVA - ESPE;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/7/2021;Cooperación técnica interinstitucional;GAD PROVINCIAL SANTO DOMINGO DE LOS TSÁCHILAS;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/7/2021;Cooperación técnica interinstitucional;GOBIERNO AUTÓNOMO DESCETRALIZADO MUNICIPAL DEL CANTÓN MACARÁ;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;13/5/2021;Cooperación académica;INSTITUTO BRASILEIRO-EQUATORIANO DE CULTURA - IBEC;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/4/2021;Cooperación académica;INSTITUTO DE ALTOS ESTUDIOS NACIONALES - IAEN;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;8/1/2021;Cooperación académica;INSTITUTO SUPERIOR TECNOLÓGICO BENITO JUÁREZ;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/9/2021;Cooperación técnica interinstitucional;LINDE;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/4/2021;Cooperación técnica interinstitucional;MINISTERIO DE DEFENSA NACIONAL;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;11/8/2021;Cooperación técnica interinstitucional;MINISTERIO DE DEFENSA NACIONAL;10 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/4/2021;Cooperación técnica interinstitucional;MINISTERIO DE DEFENSA NACIONAL;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;11/8/2021;Cooperación técnica interinstitucional;MINISTERIO DE DEFENSA NACIONAL;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;8/7/2021;Cooperación técnica interinstitucional;MISION SOCIAL RUMIÑAHUI;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;25/8/2021;Cooperación académica;UNIVERSIDAD DE LAS ÁMERICAS- UDLA;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;3/3/2021;Cooperación académica;UNIVERSIDAD ESTATAL PENINSULA DE SANTA ELENA;6 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;30/4/2021;Cooperación académica;UNIVERSIDAD TECNICA DE MANABI -UTM;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/9/2021;Cooperación técnica interinstitucional;LINDE;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;25/2/2021;Cooperación técnica interinstitucional;CACES;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;3/3/2021;Cooperación técnica interinstitucional;UPSE;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/4/2021;Cooperación técnica interinstitucional;MINISTERIO DE DEFENSA NACIONAL;10 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/4/2021;Cooperación técnica interinstitucional;MINISTERIO DE DEFENSA NACIONAL;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;24/4/2021;Cooperación técnica interinstitucional;MINISTERIO DE DEFENSA NACIONAL;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;8/7/2021;Cooperación técnica interinstitucional;MISION SOCIAL RUMIÑAHUI;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;15/9/2021;Cooperación académica;ESCUELA SUPERIOR POLITECNICA DEL LITORAL;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;8/7/2021;Cooperación académica;UNIVERSIDAD DEL AZUAY;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;10/11/2021;Cooperación académica;UNIVERSIDAD TECNICA DE AMBATO;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/7/2021;Cooperación técnica interinstitucional;ALCALDÍA DE MACARÁ;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;10/8/2021;Cooperación técnica interinstitucional;GAD DE SANTO DOMINGO DE LOS TSCHILAS;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;2/8/2021;Cooperación técnica interinstitucional;UDLA;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;11/8/2021;Cooperación técnica interinstitucional;FAE;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;21/10/2021;Cooperación técnica interinstitucional;FUERZA TERRESTRE;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;21/10/2021;Cooperación técnica interinstitucional;FUERZA TERRESTRE;10 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;24/9/2021;Cooperación técnica interinstitucional;MEDICINA LEGAL Y CIENCIAS FORENCES;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;13/5/2021;Cooperación técnica interinstitucional;ESPE-INNOVATIVA;5 BAÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;26/5/2021;Cooperación técnica interinstitucional;ASOCID-ECUADOR;10 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;28/4/2021;Cooperación técnica interinstitucional;COLEGIO DE ARQUITECTOS DEL ECUADOR;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;14/1/2021;Cooperación técnica interinstitucional;ARMADA DEL ECUADOR;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;25/2/2021;Cooperación técnica interinstitucional;CONSEJO DE ASEGURAMIENTO DE LA CALIDAD DE LA EDUCACIÓN SUPERIOR;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;17/9/2002;Cooperación técnica interinstitucional;HOSPITAL GENERAL DE LAS FUERZAR ARMADAS;INDEFINIDO;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;3/1/2005;Cooperación técnica interinstitucional;UNIVERSIDAD ANDINA SIMÓN BOLÍVAR;4 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;1/9/2008;Cooperación técnica interinstitucional;INSTIUTO ECUATORIANO DE CRÉDITO EDUCATIVO Y BECAS - IECE;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;9/11/2009;Cooperación académica;UNIVERSIDAD DE CUENCA;4 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;2/3/2010;Cooperación académica;UNIVERSIDAD POLITÉCNICA ESTATAL DEL CARCHI;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;21/11/2012;Cooperación técnica interinstitucional;TRANSNEXA;1 AÑO;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;15/2/2013;Cooperación académica;UNIVERSIDAD SAN FRANCISCO DE QUITO - USFQ;INDEFINIDO;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;29/7/2013;Cooperación técnica interinstitucional;SANTA BÁRBARA E.P.;INDEFINIDO;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;24/4/2014;Cooperación técnica interinstitucional;SUPERINTENDENCIA DE BANCOS Y SEGUROS;2 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;15/11/2016;Cooperación técnica interinstitucional;SERTECPET;2 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;10/10/2016;Cooperación académica;UNIVERSIDAD ESTATAL AMAZÓNICA;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;23/6/2017;Cooperación académica;UNIVERSIDAD CENTRAL DEL ECUADOR - UCE;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;16/4/2019;Cooperación técnica interinstitucional;GROWFLOWERS PRODUCCIONES;INDEFINIDO;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;19/11/2019;Cooperación técnica interinstitucional;WNETDEV SA;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;9/2/2022;Cooperación técnica interinstitucional;BIOAECASA;2 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;21/11/2022;Cooperación técnica interinstitucional;LATAM;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;27/9/2022;Cooperación técnica interinstitucional;ASFIS;2 Años;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;16/2/2022;Cooperación técnica interinstitucional;UAE AGE;10 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;6/10/2022;Cooperación técnica interinstitucional;MINISTERIOD E DESARROLLO URBANO Y VIVIENDA;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;16/9/2022;Cooperación técnica interinstitucional;GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN MACARÁ;NO DEFINIDO;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;15/9/2022;Cooperación técnica interinstitucional;UNIDAD EDUCATIVA SAN LUIS GONZAGA;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;20/9/2022;Cooperación académica;UNIVERSIDAD NACIONAL DE LOJA;2 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;13/10/2022;Cooperación técnica interinstitucional;AVIOANDES;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;31/8/2022;Cooperación técnica interinstitucional;ESQUEL;2 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;5/10/2022;Cooperación técnica interinstitucional;UNIVERSIDAD YACHAY TECH;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;2/2/2022;Cooperación técnica interinstitucional;UNIVERSIDAD TÉCNICA DE MANABÍ;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;13/6/2022;Cooperación técnica interinstitucional;IFBB;2 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;30/6/2023;Cooperación técnica interinstitucional;OCHOA & OCHOA CIA.LTDA;2 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;30/6/2023;Cooperación académica;UNIVERSIDAD REGIONAL AMAZÓNICA IKIAM;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;18/8/2023;Cooperación técnica interinstitucional;DIRECCIÓN DISTRITAL 17D11-MEJÍA-RUMIÑAHUI-MIES;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;17/1/2023;Cooperación técnica interinstitucional;SRI NAF;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;3/5/2023;Cooperación técnica interinstitucional;SECRETARÍA DE EDUCACIÓN SUPERIOR, CIENCIA, TECNOLOGÍA E INNOVACIÓN;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;31/1/2023;Cooperación técnica interinstitucional;EMPRESA FARBIOPHARMA S.A.;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;11/10/2023;Cooperación técnica interinstitucional;CORPORACIÓN ELÉCTRICA DEL ECUADOR CELEC EP - UNIDAD DE NEGOCIO HIDROTOAPI;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;6/7/2023;Cooperación técnica interinstitucional;AVIANCA;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;14/6/2023;Cooperación técnica interinstitucional;CEPEIGE;2 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;20/5/2023;Cooperación técnica interinstitucional;PETROECUADOR E.P;5 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;18/1/2023;Cooperación técnica interinstitucional;ASETEL;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;4/1/2023;Cooperación técnica interinstitucional;CLUB DEPORTIVO EL NACIONAL;3 AÑOS;https://urci.espe.edu.ec/conveniosnacionales/
NACIONAL;12/1/2023;Cooperación técnica interinstitucional;ADMINISTRACION ZONAL ELOY ALFARO;12 MESES;https://urci.espe.edu.ec/conveniosnacionales/
