Tema;Numero de requerimientos;Enlace para descargar el detalle de la información solicitada frecuentemente;Enlace para descargar la solicitud de información complementaria que haya sido solicitada recurrentemente
Numero de estudiantes por sede ;22609;NA;NA
Numero de estudiantes por genero (hombre);11698;NA;NA
Numero de estudiantes por genero (mujer);10852;NA;NA
Numero de estudiantes por genero (no definido);59;NA;NA
Numero de estudiantes por etnia (afroecuatoriana);157;NA;NA
Numero de estudiantes por etnia (blanco);80;NA;NA
Numero de estudiantes por etnia (ind�gena);822;NA;NA
Numero de estudiantes por etnia (mestizo);21271;NA;NA
Numero de estudiantes por etnia (montubio);162;NA;NA
Numero de estudiantes por etnia (mulato);50;NA;NA
Numero de estudiantes por etnia (negro);33;NA;NA
Numero de estudiantes por etnia (no registra);6;NA;NA
Numero de estudiantes por etnia (otro);28;NA;NA
