Numeracion;Puesto Institucional;Regimen laboral al que pertenece;Numero de partida presupuestaria;Grado jerarquico o escala al que pertenece el puesto;Remuneracin mensual unificada;Remuneracion unificada (anual);Decimo Tercera Remuneracion;Decima Cuarta Remuneracion;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1;ESPECIALISTA DE SEGURIDAD DE LA INFORMACION;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;14;1.760,00;21.120,00;1.760,00;482;0;0;2.242,00
2;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.000,00;24.000,00;2.000,00;482;0;0;2.482,00
3;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
4;AUXILIAR DE SERVICIOS;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;871,74;10.460,88;871,74;482;0;0;1.353,74
5;AUXILIAR DE SERVICIOS;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;871,74;10.460,88;871,74;482;0;0;1.353,74
6;ANALISTA DE INFRAESTRUCTURA FISICA 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;12;1.412,00;16.944,00;1.412,00;482;0;0;1.894,00
7;PSICOLOGO EDUCATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;12;1.412,00;16.944,00;1.412,00;482;0;0;1.894,00
8;PROFESOR AUXILIAR 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.464,00;29.568,00;2.464,00;482;0;0;2.946,00
9;DISEÑADOR GRAFICO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;10;1.086,00;13.032,00;1.086,00;482;0;0;1.568,00
10;ANALISTA DE SOPORTE TECNICO 2;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.521,74;18.260,88;1.521,74;482;0;0;2.003,74
11;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
12;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO MEDIO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.400,00;16.800,00;1.400,00;482;0;0;1.882,00
13;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.496,25;41.955,00;3.496,25;482;0;0;3.978,25
14;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;4.078,86;48.946,32;4.078,86;482;0;0;4.560,86
15;TECNICO DE ARCHIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;7;817;9.804,00;817;482;0;0;1.299,00
16;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.432,00;41.184,00;3.432,00;482;0;0;3.914,00
17;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.154,54;13.854,48;1.154,54;482;0;0;1.636,54
18;TRABAJADOR SOCIAL;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;0;1.521,74;18.260,88;1.521,74;482;0;0;2.003,74
19;PROFESOR AGREGADO 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.128,82;37.545,84;3.128,82;482;0;0;3.610,82
20;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;2.714,42;32.573,04;2.714,42;482;0;0;3.196,42
21;PROFESOR AGREGADO 1 MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.400,00;16.800,00;1.400,00;482;0;0;1.882,00
22;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO PARCIAL;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;1.209,98;14.519,76;1.209,98;482;0;0;1.691,98
23;ASISTENTE EJECUTIVA 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;6;733;8.796,00;733;482;0;0;1.215,00
24;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2026.189.9999.0000.82.00.000.001.510108.1700.003.0000.0000;1;3.496,25;41.955,00;3.496,25;482;0;0;3.978,25
25;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;2026.189.9999.0000.01.00.000.001.510105.1700.003.0000.0000;1;561;6.732,00;561;482;0;0;1.043,00
