CODIGOG3;DESCRIPCIONG2;DESCRIPCIONG3;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecuci?
510105 2300 003;EGRESOS EN PERSONAL;Remuneraciones Unificadas;326501,76;-326501,76;0;0;0;0;0;0;0;0;0;189
510106 0500 003;EGRESOS EN PERSONAL;Salarios Unificados;276547,44;-276547,44;0;0;0;0;0;0;0;0;0;189
510304 1700 003;EGRESOS EN PERSONAL;Compensacion por Transporte;16730;0;16730;0;1314;1314;1314;15416;15416;0;7,85;189
510601 1700 003;EGRESOS EN PERSONAL;Aporte Patronal;3643583,2;-28114,66;3615468,54;0;295330,15;295330,15;213784,43;3320138,39;3320138,39;81545,72;8,17;189
510602 1700 002;EGRESOS EN PERSONAL;Fondo de Reserva;0;17816,22;17816,22;0;0;0;0;17816,22;17816,22;0;0;189
531403 1705 003;BIENES Y SERVICIOS DE CONSUMO;Mobiliario;0;23435,4;23435,4;0;0;0;0;23435,4;23435,4;0;0;189
531403 2301 001;BIENES Y SERVICIOS DE CONSUMO;Mobiliario;0;1060;1060;0;0;0;0;1060;1060;0;0;189
531404 1705 002;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos;313099,8;-95459,15;217640,65;0;0;0;0;217640,65;217640,65;0;0;189
531404 1705 003;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos;0;9308;9308;0;0;0;0;9308;9308;0;0;189
531406 0501 002;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;460;0;460;0;0;0;0;460;460;0;0;189
531407 1705 001;BIENES Y SERVICIOS DE CONSUMO;Equipos Sistemas y Paquetes Informaticos;1220;-1220;0;0;0;0;0;0;0;0;0;189
531512 1705 002;BIENES Y SERVICIOS DE CONSUMO;Semovientes;22000;6875;28875;0;0;0;0;28875;28875;0;0;189
531512 2301 001;BIENES Y SERVICIOS DE CONSUMO;Semovientes;52500;-45625;6875;0;0;0;0;6875;6875;0;0;189
531512 2301 002;BIENES Y SERVICIOS DE CONSUMO;Semovientes;5520;-5520;0;0;0;0;0;0;0;0;0;189
530101 0501 001;BIENES Y SERVICIOS DE CONSUMO;Agua Potable;9200;0;9200;0;264,53;264,53;264,53;8935,47;8935,47;0;2,88;189
530101 1705 001;BIENES Y SERVICIOS DE CONSUMO;Agua Potable;1950;0;1950;0;0;0;0;1950;1950;0;0;189
530208 0501 001;BIENES Y SERVICIOS DE CONSUMO;Servicio de Seguridad y Vigilancia;91821,14;0;91821,14;0;7041;0;0;84780,14;91821,14;0;0;189
530209 2301 002;BIENES Y SERVICIOS DE CONSUMO;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;1500;500;2000;0;0;0;0;2000;2000;0;0;189
530220 2301 001;BIENES Y SERVICIOS DE CONSUMO;Servicios para Actividades Agropecuarias Pesca y Caza;0;850;850;0;0;0;0;850;850;0;0;189
530226 1705 003;BIENES Y SERVICIOS DE CONSUMO;Servicios Medicos Hospitalarios y Complementarios;0;100000;100000;0;0;0;0;100000;100000;0;0;189
530243 1705 003;BIENES Y SERVICIOS DE CONSUMO;Garantia Extendida de Bienes;0;18000;18000;0;0;0;0;18000;18000;0;0;189
530246 0501 002;BIENES Y SERVICIOS DE CONSUMO;Servicios de Identificacion Marcacion Autentificacion Rastreo Monitoreo Seguimiento y o Trazabilidad;1500;0;1500;0;0;0;0;1500;1500;0;0;189
530249 2301 002;BIENES Y SERVICIOS DE CONSUMO;Eventos Publicos Promocionales;1845,57;-295,57;1550;0;0;0;0;1550;1550;0;0;189
530255 1705 002;BIENES Y SERVICIOS DE CONSUMO;Combustibles;284548,81;-215448,81;69100;0;6693,91;0;0;62406,09;69100;0;0;189
530255 0501 002;BIENES Y SERVICIOS DE CONSUMO;Combustibles;15807,98;0;15807,98;0;0;0;0;15807,98;15807,98;0;0;189
530302 1705 001;BIENES Y SERVICIOS DE CONSUMO;Pasajes al Exterior;6000;1000;7000;0;0;0;0;7000;7000;0;0;189
530402 1705 001;BIENES Y SERVICIOS DE CONSUMO;Edificios Locales Residencias y Cableado Estructurado (Instalacion Mantenimiento y Reparacion);20934,79;-20934,79;0;0;0;0;0;0;0;0;0;189
530404 1705 003;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);128137,5;83340,04;211477,54;0;0;0;0;211477,54;211477,54;0;0;189
530404 1705 001;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);202519,63;-165618,47;36901,16;0;0;0;0;36901,16;36901,16;0;0;189
530404 2301 001;BIENES Y SERVICIOS DE CONSUMO;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);9017,4;-7217,4;1800;0;0;0;0;1800;1800;0;0;189
530601 1705 002;BIENES Y SERVICIOS DE CONSUMO;Consultoria Asesoria e Investigacion Especializada;81950;58050;140000;0;0;0;0;140000;140000;0;0;189
530606 1705 003;BIENES Y SERVICIOS DE CONSUMO;Honorarios por Contratos Civiles de Servicios;315163,16;603288,53;918451,69;0;0;0;0;918451,69;918451,69;0;0;189
530612 1705 001;BIENES Y SERVICIOS DE CONSUMO;Capacitacion a Servidores Publicos;238616,88;-161383,12;77233,76;0;37036;0;0;40197,76;77233,76;0;0;189
530704 2301 002;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento y Reparacion de Equipos y Sistemas Informaticos;1500;-500;1000;0;0;0;0;1000;1000;0;0;189
530802 2301 002;BIENES Y SERVICIOS DE CONSUMO;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para uniformes del personal de Proteccion Vigilancia y Seguridad;249;8201,72;8450,72;0;0;0;0;8450,72;8450,72;0;0;189
530803 0501 002;BIENES Y SERVICIOS DE CONSUMO;Lubricantes;1700;0;1700;0;0;0;0;1700;1700;0;0;189
530808 2301 002;BIENES Y SERVICIOS DE CONSUMO;Instrumental Medico Quirurgico;206;-129;77;0;0;0;0;77;77;0;0;189
530810 1705 002;BIENES Y SERVICIOS DE CONSUMO;Dispositivos Medicos para Laboratorio Clinico y de Patologia;6832,49;-834,79;5997,7;0;0;0;0;5997,7;5997,7;0;0;189
530811 0501 003;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales y Suministros para Construccion Electricidad Plomeria Carpinteria Senalizacion Vial Navegacion Contra Incendios y placas;53994,69;0;53994,69;0;0;0;0;53994,69;53994,69;0;0;189
530813 0501 002;BIENES Y SERVICIOS DE CONSUMO;Repuestos y Accesorios;12709,45;0;12709,45;0;0;0;0;12709,45;12709,45;0;0;189
530819 1705 001;BIENES Y SERVICIOS DE CONSUMO;Accesorios e Insumos Quimicos y Organicos;4445;-4445;0;0;0;0;0;0;0;0;0;189
530823 1705 001;BIENES Y SERVICIOS DE CONSUMO;Egresos para Sanidad Agropecuaria;73389,75;-4889,75;68500;0;0;0;0;68500;68500;0;0;189
530823 1705 003;BIENES Y SERVICIOS DE CONSUMO;Egresos para Sanidad Agropecuaria;17394;0;17394;0;0;0;0;17394;17394;0;0;189
530826 1705 001;BIENES Y SERVICIOS DE CONSUMO;Dispositivos e Insumos Medicos de Uso General;3350,47;-3350,47;0;0;0;0;0;0;0;0;0;189
530829 1705 001;BIENES Y SERVICIOS DE CONSUMO;Insumos Materiales Suministros y bienes para Investigacion;44181,26;-37381,26;6800;0;0;0;0;6800;6800;0;0;189
570102 1705 002;OTROS EGRESOS CORRIENTES;Tasas Generales Impuestos Contribuciones Permisos Licencias y Patentes;23667,6;-4667,6;19000;0;0;0;0;19000;19000;0;0;189
570218 1700 002;OTROS EGRESOS CORRIENTES;Intereses por Mora Patronal al IESS;600;0;600;0;0;0;0;600;600;0;0;189
580204 1705 002;TRANSFERENCIAS O DONACIONES CORRIENTES;Al Sector Privado no Financiero;21209,79;-2209,79;19000;0;0;0;0;19000;19000;0;0;189
710509 1700 001;EGRESOS EN PERSONAL PARA INVERSION;Horas Extraordinarias y Suplementarias;5154,5;0;5154,5;0;0;0;0;5154,5;5154,5;0;0;189
730604 1705 001;BIENES Y SERVICIOS PARA INVERSION;Fiscalizacion e Inspecciones Tecnicas;67967,64;0;67967,64;0;0;0;0;67967,64;67967,64;0;0;189
730609 1705 001;BIENES Y SERVICIOS PARA INVERSION;Investigaciones Profesionales y Analisis de Laboratorio;6600;-6600;0;0;0;0;0;0;0;0;0;189
730802 1705 001;BIENES Y SERVICIOS PARA INVERSION;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para Uniformes del Personal de Proteccion Vigilancia y Seguridad;520,8;0;520,8;0;0;0;0;520,8;520,8;0;0;189
840107 1705 002;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;16795,11;139204,89;156000;0;0;0;0;156000;156000;0;0;189
840111 1705 001;EGRESOS DE CAPITAL;Partes y Repuestos;0;5830;5830;0;0;0;0;5830;5830;0;0;189
990101 1700 003;OTROS PASIVOS;Obligaciones de Ejercicios Anteriores por Egresos de Personal;0;45201,73;45201,73;0;0;0;0;45201,73;45201,73;0;0;189
510105 0500 003;EGRESOS EN PERSONAL;Remuneraciones Unificadas;924553,68;-924553,68;0;0;0;0;0;0;0;0;0;189
510106 1700 003;EGRESOS EN PERSONAL;Salarios Unificados;1080698,16;438504,24;1519202,4;0;126600,2;126600,2;126600,2;1392602,2;1392602,2;0;8,33;189
510108 1700 003;EGRESOS EN PERSONAL;Remuneracion Mensual Unificada de Docentes del Magisterio y Docentes e Investigadores Universitarios;20145279,16;-270890,64;19874388,52;0;1626817,82;1626817,82;1626817,82;18247570,7;18247570,7;0;8,19;189
510203 1705 002;EGRESOS EN PERSONAL;Decimo Tercer Sueldo;0;0;0;0;0;0;0;0;0;0;0;189
510204 1700 003;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;615230;232909;848139;0;24678,42;24678,42;0;823460,58;823460,58;24678,42;2,91;189
510204 2300 003;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;48410;-48410;0;0;0;0;0;0;0;0;0;189
510204 1705 002;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;0;0;0;0;0;0;0;0;0;0;0;189
510512 1700 003;EGRESOS EN PERSONAL;Subrogacion;7000;-2000;5000;0;0;0;0;5000;5000;0;0;189
510707 1700 003;EGRESOS EN PERSONAL;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones;0;66774,55;66774,55;0;0;0;0;66774,55;66774,55;0;0;189
531406 1705 002;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;10662,83;-7371,05;3291,78;0;0;0;0;3291,78;3291,78;0;0;189
531512 0102 002;BIENES Y SERVICIOS DE CONSUMO;Semovientes;0;0;0;0;0;0;0;0;0;0;0;189
531601 2301 001;BIENES Y SERVICIOS DE CONSUMO;Fondos de Reposicion Cajas Chicas;3428,6;-3428,6;0;0;0;0;0;0;0;0;0;189
530105 1705 003;BIENES Y SERVICIOS DE CONSUMO;Telecomunicaciones;1512676,39;-1512676,39;0;0;0;0;0;0;0;0;0;189
530105 0501 001;BIENES Y SERVICIOS DE CONSUMO;Telecomunicaciones;1560;0;1560;0;101,25;101,25;101,25;1458,75;1458,75;0;6,49;189
530203 1705 001;BIENES Y SERVICIOS DE CONSUMO;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;267,71;-267,71;0;0;0;0;0;0;0;0;0;189
530203 2301 001;BIENES Y SERVICIOS DE CONSUMO;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;4030,64;-1580,64;2450;0;0;0;0;2450;2450;0;0;189
530204 1705 003;BIENES Y SERVICIOS DE CONSUMO;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;0;245983,23;245983,23;0;0;0;0;245983,23;245983,23;0;0;189
