No.;RUC / Número Identificación de la empresa o persona contratista;Número de contrato / código del proceso de contratación fallido o incumplido;Monto del contrato incumplido;Fecha desde;Fecha hasta
1;1,72E+12;SIE-ESPE-024-2019 / 2019-026-ADQ-ESPE-a2;6.580,00;2/7/2021;1/7/2026
2;1,79E+12;CE-20220002291338;80.360,65;3/5/2023;1/5/2028
3;1,71E+12;CE-20220002291338;80.360,65;3/5/2023;1/5/2028
4;1,71E+12;SIE-ESPE-2022-003;18.000,00;8/2/2023;7/2/2028
5;1,30E+12;RE-PU-ESPE-2023-004;20.015,00;17/10/2023;16/10/2026
6;1,79E+12;RE-PU-ESPE-2023-004;20.015,00;17/10/2023;16/10/2026
7;1,72E+12;IC-ESPE-e-3-198-2023;1.220,00;21/5/2024;20/5/2029
8;1,72E+13;IC-IASA-e-1-041-2023;5.940,00;14/6/2024;13/6/2029
9;1,72E+12;SIE-ESPE-2024-030;15.423,80;9/6/2025;8/6/2030
10;1,79E+12;SIE-ESPE-2024-030;15.423,80;9/6/2025;8/6/2030
