TIPO;DESCRIPCIÓN;ENLACE
Base legal;Constitución de la República del Ecuador;https://drive.google.com/file/d/1894JfAMLUwqVYgwNhq1VYP469i5MXYHT/view?usp=sharing
Base legal;Código Orgánico General de Procesos COGEP;https://drive.google.com/file/d/1RIe42QOpTnWiEmlzlKD0zwMUBjGmFLGV/view?usp=sharing
Base legal;Código Orgánico de Planificación y Finanzas Públicas COPFP;https://drive.google.com/file/d/1yUbjXpNRJiAirhmklZzdTtHdVQu1PE_O/view?usp=sharing
Base legal;Código Orgánico Administrativo;https://drive.google.com/file/d/12j_5l-itqEAQc3l1O4dHmsZdwC2hzt5c/view?usp=sharing
Base legal;Código de Trabajo;https://drive.google.com/file/d/1TjA6jEXN1WLzSjHrbTPQ1shspJuYCUoQ/view?usp=sharing
Base legal;Ley Orgánica de Educación Superior;https://drive.google.com/file/d/1LrNKYx4jwNCgjAkWkdpjbhUpMzVO8qQK/view?usp=sharing
Base legal;Ley Orgánica del Sistema Nacional de Contratación Pública (LOSNCP);https://drive.google.com/file/d/1UDWm2-l40hCEou0DJ0GgNfrFKReonQwO/view?usp=drive_link
Base legal;Ley Orgánica de Transparencia y Acceso a la Información Pública;https://drive.google.com/file/d/1zZzqWMsEutvKEDugSovudHgBnby9Ucig/view?usp=share_link
Base legal;Ley Orgánica de Servicio Público (LOSEP);https://drive.google.com/file/d/1MWJ-XlAKkZQvkQnZdD0K4_6_HToxYV_v/view?usp=sharing
Base legal;Ley Orgánica de Garantías Jurisdiccionales y Control Constitucional (LOGJCC);https://unl.edu.ec/sites/default/files/archivo/2019-05/ley_organica_de_garantias_jurisdiccionales_y_control_constitucional_logjcc.pdf
Base legal;Ley Orgánica de la Contraloría General del Estado;https://drive.google.com/file/d/1RC0g800PmEQLZob0-sm8dkXQC2JfekCm/view?usp=sharing
Base legal;Ley Orgánica del Consejo de Participación Ciudadana y Control Social (CPCCS);https://unl.edu.ec/sites/default/files/archivo/2019-05/ley_organica_del_consejo_de_participacion_ciudadana_y_control_social_cpccs.pdf
Base legal;Reglamento General a la Ley Organica de Educacion Superior;https://drive.google.com/file/d/1xynXEGGoSAEYJKT_zr8cUObPbit5Tskx/view?usp=sharing
Base legal;Reglamento General a la Ley Orgánica de Transparencia y Acceso a la Información Pública (LOTAIP);https://drive.google.com/file/d/1EQ3JGcB9JApyrErlQLVjo9ZNi19UI3dN/view?usp=sharing
Base legal;Reglamento General a la Ley Orgánica del Sistema Nacional de Contratación Pública (LOSNCP);https://drive.google.com/file/d/1bG0SyPqYt35bzaysUqLdMBwbqI8TMHx1/view?usp=sharing
Base legal;Reglamento a la Ley Orgánica de Servicio Público (LOSEP);https://drive.google.com/file/d/1xynXEGGoSAEYJKT_zr8cUObPbit5Tskx/view?usp=drive_link
Base legal;"REGLAMENTO DE CARRERA Y ESCALAFÓN DEL PERSONAL ACADÉMICO 
DEL SISTEMA DE EDUCACIÓN SUPERIOR";https://drive.google.com/file/d/1lnrGmTpPMzl-Kuy1BmfJ9j4IxgtDyzD4/view?usp=sharing
Base legal;Reglamento de Régimen Académico Consejo de Educacion Superior;https://drive.google.com/file/d/1cdk9y53rHstzTi0IVH2IlW9iPm627oWC/view?usp=sharing
Base legal;"REGLAMENTO DE ARMONIZACIÓN DE LA NOMENCLATURA DE TITULOS PROFESIONALES Y GRADOS ACADÉMICOS QUE CONFIEREN LAS INSTITUCIONES DE EDUCACIÓN SUPERIOR DEL ECUADOR";https://drive.google.com/file/d/1vVm8_PJaDzS9ayXU-27zkDjTr8OBzoY6/view?usp=sharing
Base legal;REGLA TÉCNICA PARA  LA ORGANIZACIÓN Y MANTENIMIENTO DE LOS ARCHIVOS PÚBLICOS;https://drive.google.com/file/d/1Lxc8TabRX6TYz7goSlYafu32b2ys4_Qf/view?usp=sharing
Base legal;Reglamento de Creación, Intervención, y suspensión de Universidades;https://drive.google.com/file/d/1iNs6dvgZ9G_R7uh3ibgCsdmb-ZeVxj-J/view?usp=sharing
Base legal;Estatuto Orgánico de la Universidad Nacional de Loja;https://drive.google.com/file/d/1WzykdxCnFZhaoRccabXyc7UtMno02kRz/view?usp=sharing
Regulación o procedimiento interno;Reglamento de Régimen Académico de la Universidad Nacional de Loja;https://drive.google.com/file/d/1qQiA4jFzlXIuvaA0oW7nHAVsfamLSiAH/view?usp=sharing
Regulación o procedimiento interno;Reglamento General de la Universidad Nacional de Loja;http://unl.edu.ec/sites/default/files/contenido/transparencia/reglamentogeneralunl.pdf
Regulación o procedimiento interno;Reformulacion la Política Institucional de Seguridad, Higiene y Salud en el Trabajo de la Universidad Nacional de Loja;http://unl.edu.ec/sites/default/files/contenido/transparencia/riesgoslaborales.pdf
Regulación o procedimiento interno;Politicas Institucionales para las Practicas Pre Profesionales de las  y los Estudiantes de la Universidad Nacional de Loja ;http://unl.edu.ec/sites/default/files/contenido/transparencia/practicas_1.pdf
Regulación o procedimiento interno;Resolución para Presentar Anualmente, la Rendicion de Cuentas de la Institucion, y, del Rector, Respectivamente;http://unl.edu.ec/sites/default/files/contenido/transparencia/resolucion_rendicion_de_cuentas.pdf
Regulación o procedimiento interno;Normativo para el Funcionamiento de la Coordinacion de Docencia de la Universidad Nacional de Loja;https://drive.google.com/file/d/1MqJ0TFUrZ9tg9ZvZz2YiKGzjlZMio03S/view?usp=sharing
Regulación o procedimiento interno;Normativo para la Gestión de la Investigación Científica, Tecnologica, los Saberes, la Innovacion y Trasferencia en la Universidad Nacional de Loja;http://unl.edu.ec/sites/default/files/contenido/transparencia/normativoinvestigacion.pdf
Regulación o procedimiento interno;Norma Técnica para el pago del viaticos por Gastos de Residencia y Transporte para las y los servidores de las Instituciones del Estado;https://drive.google.com/file/d/1ZZvuxLq9kPpExHCchupxY-kVJ78th1Sd/view?usp=sharing
Regulación o procedimiento interno;Reglamento General de Elecciones para Rector, Vicerrector, Representantes al Órgano Colegiado Superior de la Universidad Nacional de Loja.;https://drive.google.com/file/d/1w105P37ipN69jGizLdpQkLMdLF-_PUUn/view?usp=sharing
Regulación o procedimiento interno;REGLAMENTO PARA EL FUNCIONAMIENTO DEL ÓRGANO COLEGIADO SUPERIOR;https://drive.google.com/file/d/1zb-5dLZgVyiaD9XJcFkwENMBwLsZGMVy/view
Regulación o procedimiento interno;Reglamento de Carrera Académica y Escalafón del Personal Académico de la Universidad Nacional de Loja;https://drive.google.com/file/d/17C1fzu5lf0e2owt3bob3PKtOhBRHRMOw/view?usp=sharing
Regulación o procedimiento interno;"REGLAMENTO ORGÁNICO DE
GESTIÓN ORGANIZACIONAL POR PROCESOS DE LA UNIVERSIDAD
NACIONAL DE LOJA,";https://drive.google.com/file/d/181m959D6OrQaciEqKvPn4TnyE1DiBZr1/view?usp=sharing
Regulación o procedimiento interno;REGLAMENTO DE RÉGIMEN DISCIPLINARIO PARA PROFESORAS,PROFESORES E INVESTIGADORAS O INVESTIGADORES Y ESTUDIANTES ;https://drive.google.com/file/d/1P8SevNKJ11GPgXqAiPP6OEoPifQjpmai/view?usp=share_link
Regulación o procedimiento interno;REGLAMENTO DEL COMITÉ DE ÉTICA DE INVESTIGACION EN SERES HUMANOS DE LA UNIVERSIDAD NACIONAL DE LOJA;https://drive.google.com/file/d/1xuiJ-9G9wJvwaJ8k1x7jn894cBYf3Pk2/view?usp=share_link
Regulación o procedimiento interno;POLITICA INSTITUCIONAL INTERNA DE GESTION DOCUMENTAL Y ARCHIVO DE LA UNIVERSIDAD NACIONAL DE LOJA;https://drive.google.com/file/d/10tdD8W1kmeiB_uzrSKgLKRR3WkGztvue/view?usp=sharing
Regulación o procedimiento interno;NORMA INTERNA DEL SUBSISTEMA DE CLASIFICACIÓN Y VALORACIÓN DE PUESTOS;https://drive.google.com/file/d/1XmvJ-bRLoyq_5mIhU9O3Eg_tTq5auIni/view?usp=sharing
Regulación o procedimiento interno;NORMATIVO DE BIENES DE LA UNIVERSIDAD NACIONAL DE LOJA;https://drive.google.com/file/d/1BXV9Z6s7-V9qwMKgGIfU0qJC0bujVEy_/view?usp=sharing
Regulación o procedimiento interno;REGLAMENTO INTERNO DE TRABAJADORES;ttps://drive.google.com/file/d/1CbiXm4SNj16ii0D9FHAFnK2zHtA3K2RF/view?usp=drive_link
Regulación o procedimiento interno;REGLAMENTO ORGÁNICO POR PROCESOS DE LA UNL;https://drive.google.com/file/d/1xGAipF2-zeS5MtXShyXsDd3B9K12dJ3y/view?usp=drive_link
Regulación o procedimiento interno;"INSTRUCTIVO NORMATIVO INTERNO DE PROTECCIÓN DE DATOS
PERSONALES DE LA UNIVERSIDAD NACIONAL DE LOJA";https://drive.google.com/file/d/12oOOw6-JTkXgI2D9tEoNBGnLPWAbJRmD/view?usp=sharing
Regulación o procedimiento interno;INSTRUCTIVO PARA LIQUIDACIÓN DE HABERES;https://drive.google.com/file/d/1KLfW3Fi6f1NUTTh5ftMvD5K89NcSKUlB/view?usp=sharing
Regulación o procedimiento interno;INSTRUCTIVO INTERNO PARA EL PAGO DE HORAS SUPLEMENTARIAS Y/O;https://drive.google.com/file/d/1iecGXavj2wZ75dzWeEJLMHG41rWF-zIT/view?usp=sharing
Regulación o procedimiento interno;EXTRAORDINARIAS PARA CONDUCTORES DE LA UNIVERSIDAD NACIONAL DE LOJA;https://drive.google.com/file/d/1L5WEuILInEQiIsjccew_lde1gPW0MPoW/view?usp=sharing
Regulación o procedimiento interno;Plan de financiamiento de costos para programas de posgrado en la Universidad Nacional de Loja;https://drive.google.com/file/d/1RxeKgzsXoHX0M9ACZY6fmRgmGnSE-HAZ/view?usp=sharing
Regulación o procedimiento interno;POLÍTICA DE PROPIEDAD INTELECTUAL DE LA UNIVERSIDAD NACIONAL DE LOJA;https://drive.google.com/file/d/1wH108kV_OIq9W44KCy6cR8oGsPr3B9w8/view?usp=sharing
Regulación o procedimiento interno;CÓDIGO DE ÉTICA ;https://drive.google.com/file/d/1e-QAoMKq8JRbeZsiYknQU7zeGJEJbfth/view?usp=drive_link
Regulación o procedimiento interno;Instructivo para pago de liquidación de haberes y compesación por jubilación voluntaria u oligatoria;https://drive.google.com/file/d/1wtj8s7CGcTQP9q0Yd5kC8WLJVF0EXiXu/view?usp=sharing
Regulación o procedimiento interno;Instructivo para licencias y ayudas económicas para el personal académico de la Universidad Nacional de Loja;https://drive.google.com/file/d/1rKxDM7PS8lK5coXuUrWjonJggR-fFKTd/view?usp=drive_link
