Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
Órgano Colegiado Superior;Legislar, cogobernar y controlar el cumplimiento del direccionamiento estratégico de la institución en el marco de la autonomía responsable, y las atribuciones y deberes definidos en el Estatuto Orgánico de la Universidad Nacional de Loja.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Rectorado;Ejercer la rectoría, planificación, coordinación y control de la gestión estratégica, administrativa y técnica universitaria, propiciando una adecuada articulación e integración con los actores del sistema de la educación superior, a fin de asegurar el logro de la misión, visión y objetivos institucionales con calidad, transparencia y eficiencia.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Vicerrectorado acádémico;Actualizar el modelo pedagógico;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Reformar el Reglamento de Régimen Académico (RRA);Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Coordinación de Docencia;Diseñar el modelo curricular institucional.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Diseñar e implementar el plan quinquenal de formación y perfeccionamiento del personal académico (PFPPA) con procedimientos institucionalizados.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Investigación;Revisar y actualizar la normativa para la operatividad de los centros, grupos, redes y proyectos de investigación.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Actualizar las líneas y sublíneas de investigación de carreras y programas con enfoque de sostenibilidad.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Diseñar y ejecutar proyectos de investigación considerando componentes interculturales y salidas de transferencia tecnológica y producción científica.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Incrementar la producción científica per cápita docente.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Coordinación de Vinculación con la Sociedad;Actualizar y aprobar la normativa y/o procedimientos institucionales de la vinculación con la sociedad.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Ampliar los programas y/o proyectos de vinculación con la sociedad aprobados, derivados de los programas curriculares y / o de resultados de proyectos de investigación.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Desarrollar eventos de educación continua para la actualización o profundización de capacidades que contribuyan a la mejora del desempeño laboral, en el marco de una agenda bianual;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Ejecutar las propuestas de divulgación científica, artística y cultural de grado y posgrado en coordinación con la función de Investigación.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Posgrado;Ampliar con pertinencia la oferta academica de posgrado.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Fortalecer la calidad de carreras y programas a través de mejoras identificadas en autoevaluaciones.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Procuraduría;Actualizar la normativa institucional y los instrumentos complementarios que orientan la gestión articulada y sostenible de la UNL.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Planificación y Desarrollo;Diseñar el modelo de gestión integral por procesos de la UNL que contribuya a la articulación de las funciones sustantivas.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Implementar el proceso de planificación articulada a nivel de carreras, Unidades Académico Administrativas y Funciones Sustantivas.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Realizar el seguimiento y evaluación de los instrumentos de planificación.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Fortalecer el ciclo de la planificación de proyectos de inversión para la sostenibilidad institucional.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Comunicación e Imagen Institucional;Ampliar el  impacto de la comunicación institucional a nivel nacional.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Generar e implementar  una hoja de ruta de eventos institucionales 2024.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Coordinación de Evaluación y Aseguramiento de la Calidad;Actualizar el instructivo del proceso de evaluación integral del desempeño docente.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Fortalecer la calidad de carreras y programas a través de mejoras identificadas en autoevaluaciones.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Desarrollo Físico;Ampliar y mejorar la infraestructura física y de servicios básicos con enfoque de sostenibilidad y accesibilidad universal;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Fortalecer la eficiencia de los procesos de ejecución de obras contratadas.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Tecnologías de la Información;Automatizar los procesos académicos, administrativos y financieros para la transformación digital.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Ampliar y mejorar la infraestructura y servicios tecnológicos para la innovación y calidad académica.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Nivelación y Adminisión;Armonizar la normativa institucional que rige el sistema de nivelación y admisión con las políticas nacionales e institucionales de calidad e inclusión educativa.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Definir la estrategia de implementación del proceso de nivelación de estudiantes (admitidos) para la igualdad de oportunidades.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Implementar servicios de orientación vocacional que contribuyan a la toma decisiones informadas de los estudiantes sobre su carrera profesional y a la permanencia estudiantil.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Bienestar Universitario;Construir e implementar el plan de transversalización de los ejes de igualdad articulados a la agendas nacionales de igualdad.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Ampliar la efectividad y cobertura del sistema de becas estudiantiles;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Ampliar los servicios de bienestar universitario y su cobertura para favorecer la inclusión y permanencia estudiantil.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Contratación Pública;Fortalecer la eficiencia de los procesos de adquisición.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Biblioteca;Ampliar la disponibilidad de recursos educativos y de TIC que contribuyan a la calidad e inclusión educativa en correspondencia con la oferta académica en grado y posgrado.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Modernizar el sistema bibliotecario universitario.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección Administrativa;Mantener los servicios de seguro de vida y accidentabilidad estudiantil.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Ampliar y mejorar la infraestructura física y de servicios básicos con enfoque de sostenibilidad y accesibilidad universal;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Impulsar la implementación de energías alternativas en el campus universitario.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Dirección de Talento Humano;Fortalecer el liderazgo y capacidades para la gestión institucional.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Planificar y ejecutar  los planes de jubilación del personal de la UNL con base a la disponibilidad presupuestaria;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
Subdirección de Salud y Seguridad Ocupacional;Elaborar aprobar y ejecutar el Plan de prevención de riesgos para la salud, ambiente y patrimonio.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
;Mejorar la seguridad y accesibilidad universitaria.;Los objetivos y metas de las unidades, se encuentran en proceso de validación dentro del POA de la Universidad;Información no disponible;Información no disponible
