Institución;Nombre de la Entidad
Descripción;Contratos de credito externo o internos
Nombre del campo;Descripción del campo
Tipo de Contrato;"Especiificar si es contrato ""externo"" o ""interno"""
Objeto;Propósito o finalidad para la cual se está adquiriendo un endeudamiento o préstamo
Fecha de suscripción o renovación;Fecha en la que se ha firmado o renovado el contrato de endeudamiento o préstamo
Nombre del deudor;Nombre de la entidad u organización que contrae la deuda o préstamo
Nombre del acreedor;Nombre de la entidad u organización que presta los fondos al deudor
Nombre del ejecutor;Entidad o persona responsable de ejecutar y supervisar el uso adecuado de los fondos del endeudamiento
Tasa de Interés (%);Porcentaje aplicado sobre el monto adeudado que se debe pagar como interés durante el período del préstamo
Plazo;Período de tiempo acordado entre el deudor y el acreedor para la devolución del préstamo
Fondos con los que se cancelará la obligación crediticia;Recursos o fuentes de financiamiento específicos que se utilizarán para pagar la deuda o préstamo adquirido
Enlace para descargar el contrato de crédito externo o interno;Enlace para descargar el contrato de crédito externo
Monto del préstamo o contrato;Valor total del préstamo o endeudamiento que ha sido suscrito o contratado
Desembolsos efectuados;Pagos o desembolsos que se han realizado hasta el momento en cumplimiento de la obligación crediticia
Desembolsos por efectuar;Pagos que aún deben realizarse en el futuro
