FECHA ACTUALIZACIÓN DE LA INFORMACIÓN;31/01/2026;
 PERIODICIDAD DE ACTUALIZACIÓN DE LA INFORMACIÓN;Mensual;
 UNIDAD POSEEDORA DE LA INFORMACIÓN;Procuraduría General;
 PERSONA RESPONSABLE DE LA UNIDAD POSEEDORA DE LA INFORMACIÓN;Dr. Rubén Idrobo;
 CORREO ELECTRÓNICO DE LA PERSONA RESPONSABLE DE LA UNIDAD POSEEDORA DE LA INFORMACIÓN;procuraduria@unl.edu .ec;
 NÚMERO TELEFÓNICO DE LA PERSONA RESPONSABLE DE LA UNIDAD POSEEDORA DE LA INFORMACIÓN;072547252 Ext. 161;
 LICENCIA;CC-BY-4.0;
 ENLACE PARA DESCARGAR EL LISTADO ÍNDICE DE INFORMACIÓN RESERVADA - CERTIFICADO DE CUMPLIMIENTO;No aplica;
 ENLACE PARA DESCARGAR EL LISTADO ÍNDICE DE INFORMACIÓN RESERVADA - REPORTE DEL LITERAL C) (SISTEMA DE LA DEFENSORÍA DEL PUEBLO DE ECUADOR);No aplica;
 
