Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Montocertificado;Comprometido;Devengado;Pagado;Saldoporcomprometer;Saldopordevengar;Saldoporpagar;Porcentajedeejecución
5,10105E+12;EGRESOS EN PERSONAL;Remuneraciones Unificadas;3831132,48;0;3831132,48;0;297313,15;297313,15;297313,15;3533819,33;3533819,33;0;7,76
5,10106E+12;EGRESOS EN PERSONAL;Salarios Unificados;845970,84;0;845970,84;0;66943,38;66943,38;66943,38;779027,46;779027,46;0;7,91
5,10108E+12;EGRESOS EN PERSONAL;Remuneracion Mensual Unificada de Docentes del Magisterio y Docentes e Investigadores Universitarios;8350564,07;0;8350564,07;0;639510,67;639510,67;639510,67;7711053,4;7711053,4;0;7,66
5,10203E+12;EGRESOS EN PERSONAL;Decimo Tercer Sueldo;0;0;0;0;0;0;0;0;0;0;0
5,10203E+12;EGRESOS EN PERSONAL;Decimo Tercer Sueldo;2013322,77;-40000;1973322,77;0;6978,97;6978,97;6978,97;1966343,8;1966343,8;0;0,35
5,10203E+12;EGRESOS EN PERSONAL;Decimo Tercer Sueldo;0;0;0;0;0;0;0;0;0;0;0
5,10204E+12;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;0;0;0;0;0;0;0;0;0;0;0
5,10204E+12;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;590320;0;590320;0;2203,99;2203,99;2203,99;588116,01;588116,01;0;0,37
5,10204E+12;EGRESOS EN PERSONAL;Decimo Cuarto Sueldo;0;0;0;0;0;0;0;0;0;0;0
5,10304E+12;EGRESOS EN PERSONAL;Compensacion por Transporte;12135;0;12135;0;0;0;0;12135;12135;0;0
5,10306E+12;EGRESOS EN PERSONAL;Alimentacion;96076;0;96076;0;0;0;0;96076;96076;0;0
5,10401E+12;EGRESOS EN PERSONAL;Por Cargas Familiares;2073,9;0;2073,9;0;0;0;0;2073,9;2073,9;0;0
5,10408E+12;EGRESOS EN PERSONAL;Subsidio de Antiguedad;20115,7;0;20115,7;0;0;0;0;20115,7;20115,7;0;0
5,10509E+12;EGRESOS EN PERSONAL;Horas Extraordinarias y Suplementarias;2000;0;2000;0;0;0;0;2000;2000;0;0
5,1051E+12;EGRESOS EN PERSONAL;Servicios Personales por Contrato;196668;0;196668;0;14988,73;14988,73;14988,73;181679,27;181679,27;0;7,62
5,1051E+12;EGRESOS EN PERSONAL;Servicios Personales por Contrato;0;0;0;0;0;0;0;0;0;0;0
5,10512E+12;EGRESOS EN PERSONAL;Subrogacion;2507,2;0;2507,2;0;441,6;441,6;441,6;2065,6;2065,6;0;17,61
5,10513E+12;EGRESOS EN PERSONAL;Encargos;90148,38;0;90148,38;0;7622,06;7622,06;7622,06;82526,32;82526,32;0;8,46
5,10518E+12;EGRESOS EN PERSONAL;Servicios Personales por Contrato de Docentes del Magisterio y Docentes e Investigadores Universitarios;0;0;0;0;0;0;0;0;0;0;0
5,10518E+12;EGRESOS EN PERSONAL;Servicios Personales por Contrato de Docentes del Magisterio y Docentes e Investigadores Universitarios;11139138;0;11139138;0;944260,44;944260,44;944260,44;10194877,56;10194877,56;0;8,48
5,10601E+12;EGRESOS EN PERSONAL;Aporte Patronal;0;0;0;0;0;0;0;0;0;0;0
5,10601E+12;EGRESOS EN PERSONAL;Aporte Patronal;2286477,88;0;2286477,88;0;183918,23;183918,23;183918,23;2102559,65;2102559,65;0;8,04
5,10601E+12;EGRESOS EN PERSONAL;Aporte Patronal;0;0;0;0;0;0;0;0;0;0;0
5,10602E+12;EGRESOS EN PERSONAL;Fondo de Reserva;0;0;0;0;0;0;0;0;0;0;0
5,10602E+12;EGRESOS EN PERSONAL;Fondo de Reserva;2013378,12;0;2013378,12;0;693,73;693,73;693,73;2012684,39;2012684,39;0;0,03
5,10706E+12;EGRESOS EN PERSONAL;Beneficio por Jubilacion;0;160000;160000;0;0;0;0;160000;160000;0;0
5,10707E+12;EGRESOS EN PERSONAL;Compensacion por Vacaciones no Gozadas por Cesacion de Funciones;0;40000;40000;0;0;0;0;40000;40000;0;0
5,30101E+12;BIENES Y SERVICIOS DE CONSUMO;Agua Potable;21463,78;0;21463,78;0,81;2889,19;2889,19;2889,19;18574,59;18574,59;0;13,46
5,30104E+12;BIENES Y SERVICIOS DE CONSUMO;Energia Electrica;130000;0;130000;0,78;8763,22;8763,22;8763,22;121236,78;121236,78;0;6,74
5,30105E+12;BIENES Y SERVICIOS DE CONSUMO;Telecomunicaciones;430000;0;430000;252000;0;0;0;430000;430000;0;0
5,30105E+12;BIENES Y SERVICIOS DE CONSUMO;Telecomunicaciones;68360;0;68360;113,98;789,02;789,02;789,02;67570,98;67570,98;0;1,15
5,30106E+12;BIENES Y SERVICIOS DE CONSUMO;Servicio de Correo;300;699;999;0;0;0;0;999;999;0;0
5,30106E+12;BIENES Y SERVICIOS DE CONSUMO;Servicio de Correo;1000;0;1000;0;0;0;0;1000;1000;0;0
5,30202E+12;BIENES Y SERVICIOS DE CONSUMO;Fletes y Maniobras;2500;0;2500;0;0;0;0;2500;2500;0;0
