Instituci?n;Nombre de la Entidad
Descripci?n;Resultados definitivos de auditor?as
Nombre del campo;Descripci?n del campo
No;N?mero secuencial que identifica cada l?nea de datos
N?mero del informe;N?mero de identificaci?n del informe de auditor?a
Tipo de examen;Tipo de examen realizado
Nombre del examen;Nombre o t?tulo del examen de auditor?a
Per?odo analizado;Per?odo de tiempo que fue analizado durante la auditor?a
?rea o proceso auditado;?rea espec?fica o proceso de la organizaci?n que fue sometido a auditor?a
Enlace para descargar el informe espec?fico;Hiperv?nculo o direcci?n web que permite descargar el informe de auditor?a completo
Enlace para descargar el reporte de seguimiento al cumplimiento de recomendaciones del informe de auditor?a;Hiperv?nculo o direcci?n web que permite descargar el reporte de seguimiento al cumplimiento de recomendaciones del informe de auditor?a
