Tipo;Fecha de suscripcion ;Objeto ;Nombre de la organizacion, persona natural o persona juridica ;Plazo de duracion ;Enlace para descargar el convenio 
Nacional;2025-01-02;"Establecer de común acuerdo entre las partes, las condiciones bajo las cuales se desarrollará de forma conjunta, el proyecto ""Caracterización de la respuesta sísmica de conexiones de la placa base con pernos expuestos"", en adelante Proyecto i+d+I, ganador de la Convocatoria Fondo I+D+i 2024, presentado por la Universidad San Francisco de Quito, la Escuela Politécnica Nacional y la Universidad Técnica de Manabí.";"Corporación Ecuatoriana para el Desarrollo de Investigación y la Academia REDCEDIA -  CEDIA
";1 año;https://atenea.epn.edu.ec/bitstream/25000/1759/1/jle%20cn%202024%200148%20convenio%20fondo%20IDI%2012%20USFQ%20EPN%20UTM%20FIRMADO%20IES%20%281%29.pdf
Nacional;2025-01-02;"Establecer de común acuerdo entre las partes, las condiciones bajo las cuales se desarrollará de forma conjunta, el proyecto ""DESARROLLO DE UN SISTEMA DE INTERPRETACIÓN DE LENGUA DE SEÑAS ECUATORIANA BASADO EN IA PARA MEJORAR LA COMUNICACIÓN DE PERSONAS SORDAS EN ECUADOR"", en adelante PROYECTO I+D+i, ganador de la Convocatoria FONDO I+D+i 2024, presentado por la Universidad Politécnica Salesiana, Universidad Tecnológica Indoamérica, Escuela Politécnica Nacional, Pontificia Universidad Católica del Ecuador.";"Corporación Ecuatoriana para el Desarrollo de Investigación y la Academia REDCEDIA -  CEDIA
";1 año;https://atenea.epn.edu.ec/bitstream/25000/1760/1/jle-cn-2024-0149_idi_027_ups_uti_epn_puce_firmado%20%282%29.pdf
Internacional;2025-01-07;Facilitar la cooperación interuniversitaria en los campos de la enseñanza y de la investigación en los tres ciclos de a enseñanza superior.;" Universitat de València
";4 años;https://atenea.epn.edu.ec/bitstream/25000/1761/1/Escuela%20Politecnica%20Nacional_cast_2024-signedEPN%20%281%29.pdf
Nacional;2025-01-16;Establecer los mecanismos de cooperación interinstitucional para la participación de profesores en la conformación de las comisiones de evaluación de los concursos de merecimientos y oposición del personal académico de las Instituciones de Educación Superior firmantes, ya sea en calidad de requirentes o requeridos.;Universidad UTE;5 años;https://atenea.epn.edu.ec/bitstream/25000/1763/1/convenio_de_cooperaci%c3%b3n_interinstitucional_comisi%c3%b3n_de_evaluaci%c3%b3n_ies_-_epn_-UTE-signed-signed%20%281%29.pdf
Nacional;2025-01-17;Establecer los mecanismos de cooperación interinstitucional para la participación de profesores en la conformación de las comisiones de evaluación de los concursos de merecimientos y oposición del personal académico de las Instituciones de Educación Superior firmantes, de acuerdo a la necesidad, disponibilidad y previa coordinación de las dos instituciones, en calidad de miembros externos ya sea como requirentes o requeridos, conforme lo determina el artículo 47 del Reglamento de Carrera y Escalafón del Personal Académico del Sistema de Educación Superior, emitido por el Consejo de Educación Superior - CES.;Universidad de Cuenca;5 años;https://atenea.epn.edu.ec/bitstream/25000/1766/1/Conv%20esp%20miembros%20externos%20concursos%20de%20m%c3%a9ritos_EPN%2c%20CUENCA%20%281%29.pdf
Nacional;2025-01-20;"Modificar la Cláusula Décima de ""Régimen Financiero"", quedando sin efecto el texto original, siendo reemplazado por:
""Por su naturaleza, el presente convenio específico, por sí solo, no da lugar a compromisos o egresos económicos con cargo a los presupuestos de la EPN ni de YACHAY.
Corresponde a la parte requirente brindar las facilidades de movilización del personal académico designado para integrar la comisión de evaluación de los concursos de méritos y oposición respectiva, De ser el caso, brindará alojamiento y alimentación del personal académico designado para el cumplimiento de sus labores en la sede de la parte requirente"".";"Universidad de Investigación de Tecnología Experimental YACHAY
";2 años;https://atenea.epn.edu.ec/bitstream/25000/1768/1/adenda_cooperaci%c3%b3n_interinstitucional_comisiones_de_evaluaci%c3%b3n_yachay_tech_epn_revisada-signed-signed%20%281%29.pdf
Nacional;2025-01-20;Establecer los mecanismos de cooperación interinstitucional para la participación de profesores en la conformación de las comisiones de evaluación de los concursos de merecimientos y oposición del personal académico de las Instituciones de Educación Superior firmantes, ya sea en calidad de requirentes o requeridos.;Universidad Técnica de Machala;3 años;https://atenea.epn.edu.ec/bitstream/25000/1769/1/03_2025_ESPECIFICO_EPN_UTMACH%20%283%29.pdf
Nacional;2025-01-21;Establecer los mecanismos de cooperación interinstitucional para la participación de profesores en la conformación de las comisiones de evaluación de los concursos de merecimientos y oposición del personal académico de las Instituciones de Educación Superior firmantes, ya sea en calidad de requirentes o requeridos.;Universidad Técnica Particular de Loja;5 años;https://atenea.epn.edu.ec/bitstream/25000/1770/1/convenio_cooperaci%c3%b3n_comisi%c3%b3n_de_evaluaci%c3%b3n_ies_revisado%20epn_utpl_signed%20%281%29.pdf
Nacional;2025-01-24;"Modificar la Cláusula Décima Primera de ""Régimen Financiero"", quedando:
""Por su naturaleza, el presente convenio específico, por sí solo, no da lugar a compromisos o egresos económicos con cargo a los presupuestos de la EPN ni de la ESPOL.
Corresponde a la parte requirente brindar las facilidades de movilización del personal académico designado para integrar la comisión de evaluación de los concursos de méritos y oposición respectiva. de ser el caso, brindará alojamiento y alimentación al personal académico designado para el cumplimiento de sus labores en la sede de la parte requirente"".";Escuela Superior Politécnica del Litoral, ESPOL;3 años;https://atenea.epn.edu.ec/bitstream/25000/1771/1/RV%20spec%c3%adfico_de_cooperaci%c3%b3n_interinstitucional_comisiones_de_evaluaci%c3%b3n-signed%20%281%29.pdf
Nacional;2025-01-24;Establecer los mecanismos de cooperación interinstitucional para la participación de profesores en la conformación de las comisiones de evaluación de los concursos de merecimientos y oposición del personal académico de las Instituciones de Educación Superior firmantes, ya sea en calidad de requirentes o requeridos.;Universidad Estatal de Milagro - UNEMI;5 años;https://atenea.epn.edu.ec/bitstream/25000/1772/1/Convenio%20de%20Cooperaci%c3%b3n%20Interinstitucional%20Comisi%c3%b3n%20de%20Evaluaci%c3%b3n%20-%20EPN-signed_firmado%20%282%29.pdf
