Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;14355;Personal Academico Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
2;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;11235;Personal Academico Agregado;3,744.70;44936.4;312.06;39.17;0;0;351.23
3;Asistente de Laboratorios;1.Servicio Civil Publico (Losep);15954;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
4;Profesor Auxiliar 1 Tiempo Completo;3.Otros Regimenes Especiales;11790;Profesor Auxiliar;3,343.82;40125.84;278.65;39.17;0;0;317.82
5;Analista de Contabilidad 2;1.Servicio Civil Publico (Losep);15535;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
6;Asistente de Presupuesto;1.Servicio Civil Publico (Losep);15766;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
7;Miembro Profesor Principal de la Comision de Evaluacion Interna;3.Otros Regimenes Especiales;3;Autoridad Universitaria;3,996.04;47952.48;333;39.17;0;0;372.17
8;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;11180;Personal Academico Auxiliar;3,463.99;41567.88;288.67;39.17;0;0;327.84
9;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;14703;Personal Academico Agregado;4,346.97;52163.64;362.25;39.17;0;0;401.42
10;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11080;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
11;Analista de Asesoria Juridica y Patrocinio 1;1.Servicio Civil Publico (Losep);15709;Uep Nivel Profesional A3;1,212.00;14544;101;39.17;0;0;140.17
12;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;11950;Personal Academico Agregado;4,346.97;52163.64;362.25;39.17;0;0;401.42
13;Analista de Contratacion Publica 2 Del Ig;1.Servicio Civil Publico (Losep);15962;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
14;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11060;Profesor Principal;4,709.22;56510.64;392.44;39.17;0;0;431.61
15;Responsable de Talento Humano;1.Servicio Civil Publico (Losep);16058;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;47.36;0;233.2
16;Responsable de Planificación;1.Servicio Civil Publico (Losep);15692;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
17;Responsable de la Unidad de Evaluacion y Aseguramiento de la Conformidad;1.Servicio Civil Publico (Losep);15999;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
18;Analista de Ciencia de Alimentos y Biotecnologia 2;1.Servicio Civil Publico (Losep);16071;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
19;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);16026;Uep Nivel Administrativo A5;817;9804;68.08;39.17;0;0;107.25
20;Responsable de Laboratorio de Ensayos;1.Servicio Civil Publico (Losep);16014;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
21;Profesor Auxiliar 2 Tiempo Completo;3.Otros Regimenes Especiales;12455;Profesor Auxiliar;3,125.27;37503.24;260.44;39.17;0;0;299.61
22;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;12990;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
23;Secretaria Ejecutiva;1.Servicio Civil Publico (Losep);16027;Uep Nivel Administrativo A5;817;9804;68.08;39.17;0;0;107.25
24;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;11605;Personal Academico Agregado;3,193.90;38326.8;266.16;39.17;0;0;305.33
25;Analista Administrativo de Lingüistica;1.Servicio Civil Publico (Losep);15865;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
26;Asistente de Relaciones Institucionales;1.Servicio Civil Publico (Losep);15991;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
27;Profesor Agregado 1 Tiempo Completo;3.Otros Regimenes Especiales;12515;Personal Academico Agregado;3,744.70;44936.4;312.06;39.17;0;0;351.23
28;Profesor Titular Principal de Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11090;Personal Academico Principal;4,528.09;54337.08;377.34;39.17;0;0;416.51
29;Responsable de Planificación;1.Servicio Civil Publico (Losep);15915;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
30;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;14660;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
31;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;13070;Profesor Agregado;4,346.97;52163.64;362.25;39.17;0;0;401.42
32;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11120;Profesor Principal;4,709.22;56510.64;392.44;39.17;0;0;431.61
33;Asistente de Tecnologias de la Informacion y Comunicaciones;1.Servicio Civil Publico (Losep);15968;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
34;Analista de Calidad y Acreditacion;1.Servicio Civil Publico (Losep);16001;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
35;Especialista de Ciencia de Alimentos y Biotecnologia;1.Servicio Civil Publico (Losep);15830;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
