Denominacion del servicio publico que se brinda;Enlace para acceder al reporte del servicio ;Numero de personas que acceden mensualmente al servicio institucional;Enlace para descargar el formulario o formato del servicio - Correo electronico para solicitar el servicio;Enlace para el servicio por internet en linea;Porcentaje de satisfaccion sobre el uso del servicio
"Solicitudes para autorizaciones en procesos academicos Matrícula Extraordinaria; Reingreso; Prorrogas para Unidad de Titulacion; Cambio en Unidad de Integracion Curricular";No disponible;0;https://atenea.epn.edu.ec/handle/25000/227;No disponible;No disponible
Autorizacion reingreso de Aspirantes de Nivelacion o Primer Nivel de Carrera sin Matrícula Consecutiva;No disponible;0;https://atenea.epn.edu.ec/handle/25000/518;No disponible;No disponible
Certificacion de no adeudar a unidades EPN;No disponible;5;https://atenea.epn.edu.ec/handle/25000/229;No disponible;No disponible
Autorizacion retiro de asignaturas cursos o sus equivalentes;No disponible;101;https://atenea.epn.edu.ec/handle/25000/220;No disponible;No disponible
Autorizacion de supresion de matricula cursos de nivelacion;No disponible;1;https://atenea.epn.edu.ec/handle/25000/843;No disponible;No disponible
Autorizacion para inscripcion en un numero adicional de creditos;No disponible;0;https://atenea.epn.edu.ec/handle/25000/714;No disponible;No disponible
Formulario para solicitar registro de retiro definitivo de nivelacion;No disponible;0;https://atenea.epn.edu.ec/handle/25000/884;No disponible;No disponible
Formulario para solicitar continuidad de estudios para titularse;No disponible;0;https://atenea.epn.edu.ec/handle/25000/901;No disponible;No disponible
"Formulario de registro bibliografico para Unidad de titulacion;Trabajo de integracion curricular ";No disponible;7;https://atenea.epn.edu.ec/handle/25000/792;No disponible;No disponible
"Formulario para solicitar la habilitacion y; o cambio de itinerario";No disponible;0;https://atenea.epn.edu.ec/handle/25000/1041;No disponible;No disponible
Autorizacion de supresion de matricula;No disponible;11;https://atenea.epn.edu.ec/handle/25000/220;No disponible;No disponible
Autorizacion de concesion de tercera matricula;No disponible;0;https://atenea.epn.edu.ec/handle/25000/494;No disponible;No disponible
Autorizacion de extension de matricula;No disponible;0;https://atenea.epn.edu.ec/handle/25000/725;No disponible;No disponible
Autorizacion de cambio de carrera;No disponible;0;https://atenea.epn.edu.ec/handle/25000/730;No disponible;No disponible
Autorizacion de matricula especial;No disponible;0;https://atenea.epn.edu.ec/handle/25000/222;No disponible;No disponible
Autorizacion de modificacion de la informacion socioeconomica registrada por el estudiante en el Sistema Academico;No disponible;22;https://atenea.epn.edu.ec/handle/25000/502;No disponible;No disponible
Registro de Informe de practicas pre profesionales;No disponible;379;https://atenea.epn.edu.ec/handle/25000/511;No disponible;No disponible
Solicitud para convalidacion de practicas pre profesionales;No disponible;143;https://atenea.epn.edu.ec/handle/25000/591;No disponible;No disponible
Solicitud para cambio de institucion de educacion superior;No disponible;0;https://atenea.epn.edu.ec/handle/25000/731;No disponible;No disponible
Autorizacion de registro como estudiante libre;No disponible;0;https://atenea.epn.edu.ec/handle/25000/860;No disponible;No disponible
