Tipo;Descripción;Enlace
Base legal;Constitución de la República del Ecuador;https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/EY9dOKsL5tBJrtb-QV5tXU4BjL2jdTjQ9WtgCZFM2Q3Wdg
Base Legal;Código del Trabajo;https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/EWqGlmIOOXZGghh0MnsEu6YBuCLCWTwLnP0A8EfdLQ6G1w
Base Legal;Código Orgánico Administrativo;https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/EXgTq3rA9QhHlOTU30dnBswBCII_fnIIyE7XDjENhGn3WQ
Base Legal;Código Orgánico de Planificación y Finanzas Públicas;https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/ETfagk6-VCVDkn38b6I1-NgBPxbg0D2olHSFraFIG7l1zg
Base Legal;Ley Orgánica de Educación Superior (LOES);https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/EYaCetLTThdHoiGvVroVLPEBjZqFh1Pop34PGOKfOx3iWg
Base Legal;Ley Orgánica de Transparencia y Acceso a la Información Pública (LOTAIP);https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/EVv-JG7oPoBKrH376K8Q-EgBjNGDshPqxF6UJCYsPwSQFg
Base Legal;Ley Orgánica del Sistema Nacional de Contratación Pública (LOSNCP);https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/EQ8VVrFEoR9ElPB0IQsM2PwBHMPJA-swLwskBl89hLgIoQ
Base Legal;Ley Orgánica de Servicio Público (LOSEP);https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/EUoovTCHod1ElRdEB4sFs30BzDofvkueydDFGtKQJ86hyg
Base Legal;Ley Orgánica de la Contraloría General del Estado;https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/Ec9fKOFWsoBCqYsxCYz-LbIBv5kJI6CkZXEA4XzbpurTeg
Base Legal;Reglamento General a la Ley Orgánica de Educación Superior (LOES);https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/EUjCmCgjgiNHu7NoLLkj8IsBXTnDy_3H271k5GrH9RFB-g
Base Legal;Reglamento General de la Ley Orgánica de Transparencia y Acceso a la Información Pública;https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/EYnRGelv9W9EkAbSvoCBViUBmHVeVEdg0y0RLE5JJsj4TQ
Base Legal;Reglamento a la Ley Orgánica del Sistema Nacional de Contratación Pública (LOSNCP);https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/Ef7pH-D8F_VHie2wnDgRjvgBVOBLVWDNt1c6GxD3Ic4JEQ
Base Legal;Reglamento General a la Ley Orgánica del Servicio Público (LOSEP);https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/ERhOQ5z4qFZAs8PfZ2ZnV7EBecbbsLfqQtebo3rPhJ0auQ
Base Legal;Reglamento de la Ley Orgánica de la Contraloría General del Estado;https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/Ebcs08Bh-wBNniujNyVnLIkBUgkQ49Wi4bTjmeNJRu3puw
Base Legal;Reglamento de Carrera y Escalafón del Personal Académico del Sistema de Educación Superior;https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/ERt4hXYz3ZFKpW4axKLwYUsBo4MaPnvXscHF4uO0e6uMaw
Base Legal;Reglamento de Régimen Académico;https://epnecuador-my.sharepoint.com/:b:/g/personal/prosecretaria_epn_edu_ec/EYG7e-EEFmBDhLnzMZtpuH8BBNZeSN-oJ4NV2uL86H8fHA
