Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución
510105 003;Egresos En Personal;Remuneraciones Unificadas;8000270.16;20472.24;8020742.4;0;651536.43;651536.43;651536.43;7369205.97;7369205.97;0;8.12
510106 003;Egresos En Personal;Salarios Unificados;872688.72;-6732;865956.72;0;73285.06;73285.06;73285.06;792671.66;792671.66;0;8.46
510108 003;Egresos En Personal;Remuneracion Mensual Unificada de Docentes del Magisterio y Docentes e Investigadores Universitarios;14392722.94;95039.28;14487762.22;0;1199171.49;1199171.49;1199171.49;13288590.73;13288590.73;0;8.28
510111 003;Egresos En Personal;Remuneraciones Unificadas de Profesionales de la Salud;156432;20112;176544;0;13036;13036;13036;163508;163508;0;7.38
510203 003;Egresos En Personal;Decimo Tercer Sueldo;2560888.76;117031.51;2677920.27;0;130087.08;130087.08;97956.83;2547833.19;2547833.19;32130.25;4.86
510204 003;Egresos En Personal;Decimo Cuarto Sueldo;604890;35350;640240;0;29131.28;29131.28;19241.43;611108.72;611108.72;9889.85;4.55
510304 003;Egresos En Personal;Compensacion por Transporte;11394;0;11394;0;452;452;452;10942;10942;0;3.97
510306 003;Egresos En Personal;Alimentacion;103118.24;0;103118.24;0;6568;6568;6568;96550.24;96550.24;0;6.37
510401 003;Egresos En Personal;Por Cargas Familiares;4468.8;0;4468.8;0;357.2;357.2;357.2;4111.6;4111.6;0;7.99
510408 003;Egresos En Personal;Subsidio de Antiguedad;21018.96;0;21018.96;0;1987.2;1987.2;1987.2;19031.76;19031.76;0;9.45
510502 003;Egresos En Personal;Remuneracion Unificada para Pasantes e Internos Rotativos de Salud;7520.16;7520.16;15040.32;0;0;0;0;15040.32;15040.32;0;0
510509 003;Egresos En Personal;Horas Extraordinarias y Suplementarias;20000;-10000;10000;0;5756.95;5756.95;1681.88;4243.05;4243.05;4075.07;57.57
510510 003;Egresos En Personal;Servicios Personales por Contrato;895440;14544;909984;0;67870;67870;67870;842114;842114;0;7.46
510512 003;Egresos En Personal;Subrogacion;35000;-20000;15000;0;216.36;216.36;0;14783.64;14783.64;216.36;1.44
510513 003;Egresos En Personal;Encargos;59454.97;-44454.97;15000;0;4648.88;4648.88;0;10351.12;10351.12;4648.88;30.99
510517 003;Egresos En Personal;Servicios Personales por Contrato de Profesionales de la Salud;63360;-21120;42240;0;5280;5280;5280;36960;36960;0;12.5
510518 003;Egresos En Personal;Servicios Personales por Contrato de Docentes del Magisterio y Docentes e Investigadores Universitarios;6270146.9;994720.86;7264867.76;0;562508.3;562508.3;0;6702359.46;6702359.46;562508.3;7.74
510601 003;Egresos En Personal;Aporte Patronal;2899792.72;82866.23;2982658.95;0;241730.73;241730.73;189793.7;2740928.22;2740928.22;51937.03;8.1
510602 003;Egresos En Personal;Fondo de Reserva;2540882.21;101796.74;2642678.95;0;445.37;445.37;40.09;2642233.58;2642233.58;405.28;0.02
510704 003;Egresos En Personal;Compensacion por Desahucio;0;2000;2000;0;0;0;0;2000;2000;0;0
530101 001;Bienes Y Servicios De Consumo;Agua Potable;78000;-38947.23;39052.77;1257.29;49;49;0;39003.77;39003.77;49;0.13
530101 002;Bienes Y Servicios De Consumo;Agua Potable;2500;0;2500;0;2500;178.36;178.36;0;2321.64;0;7.13
530104 001;Bienes Y Servicios De Consumo;Energia Electrica;112462.75;-63498.75;48964;3018.28;25281.72;25281.48;338.12;23682.28;23682.52;24943.36;51.63
530104 002;Bienes Y Servicios De Consumo;Energia Electrica;178926.18;-84917.35;94008.83;0;2500;2017.24;1734.59;91508.83;91991.59;282.65;2.15
530105 001;Bienes Y Servicios De Consumo;Telecomunicaciones;114254;29359.14;143613.14;109824.95;9312.77;9312.77;492.14;134300.37;134300.37;8820.63;6.48
530105 002;Bienes Y Servicios De Consumo;Telecomunicaciones;118772.44;172866.43;291638.87;405;2850;267.51;267.51;288788.87;291371.36;0;0.09
530106 002;Bienes Y Servicios De Consumo;Servicio de Correo;0;50;50;0;0;0;0;50;50;0;0
530201 001;Bienes Y Servicios De Consumo;Transporte de Personal;0;294940;294940;0;0;0;0;294940;294940;0;0
530201 002;Bienes Y Servicios De Consumo;Transporte de Personal;0;285550.42;285550.42;3052.5;0;0;0;285550.42;285550.42;0;0
530202 002;Bienes Y Servicios De Consumo;Fletes y Maniobras;0;50;50;0;0;0;0;50;50;0;0
530202 003;Bienes Y Servicios De Consumo;Fletes y Maniobras;0;11166.6;11166.6;0;0;0;0;11166.6;11166.6;0;0
530203 002;Bienes Y Servicios De Consumo;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;600;6050;6650;0;0;0;0;6650;6650;0;0
530204 001;Bienes Y Servicios De Consumo;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;200;-100;100;30;0;0;0;100;100;0;0
530204 002;Bienes Y Servicios De Consumo;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;46000;29600;75600;0;1129.82;0;0;74470.18;75600;0;0
530204 003;Bienes Y Servicios De Consumo;Edicion Impresion Reproduccion Publicaciones Suscripciones Fotocopiado Traduccion Empastado Enmarcacion Serigrafia Fotografia Carnetizacion Filmacion e Imagenes Satelitales;125521.16;-45732.56;79788.6;0;0;0;0;79788.6;79788.6;0;0
530205 003;Bienes Y Servicios De Consumo;Espectaculos Culturales y Sociales;10000;0;10000;0;0;0;0;10000;10000;0;0
530207 002;Bienes Y Servicios De Consumo;Difusion Informacion y Publicidad;93571.52;60242.75;153814.27;70950;0;0;0;153814.27;153814.27;0;0
530208 002;Bienes Y Servicios De Consumo;Servicio de Seguridad y Vigilancia;266080;602596.32;868676.32;247912.06;22537.46;0;0;846138.86;868676.32;0;0
530208 003;Bienes Y Servicios De Consumo;Servicio de Seguridad y Vigilancia;0;5000;5000;0;0;0;0;5000;5000;0;0
530209 001;Bienes Y Servicios De Consumo;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;0;65358.63;65358.63;0;0;0;0;65358.63;65358.63;0;0
530209 002;Bienes Y Servicios De Consumo;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;910645.44;-87314.57;823330.87;90808.2;0;0;0;823330.87;823330.87;0;0
530209 003;Bienes Y Servicios De Consumo;Servicios de Aseo Lavado de Vestimenta de Trabajo Fumigacion Desinfeccion Limpieza de Instalaciones manejo de desechos contaminados recuperacion y clasificacion de materiales reciclables;4800;11346.2;16146.2;0;0;0;0;16146.2;16146.2;0;0
530210 003;Bienes Y Servicios De Consumo;Servicio de Guarderia;48000;-6250;41750;0;0;0;0;41750;41750;0;0
530216 002;Bienes Y Servicios De Consumo;Servicios de Voluntariado;7200;0;7200;4320;0;0;0;7200;7200;0;0
530221 001;Bienes Y Servicios De Consumo;Servicios Personales Eventuales sin Relacion de Dependencia;300;200;500;80;0;0;0;500;500;0;0
530221 002;Bienes Y Servicios De Consumo;Servicios Personales Eventuales sin Relacion de Dependencia;29685.69;-10185.69;19500;0;0;0;0;19500;19500;0;0
530226 002;Bienes Y Servicios De Consumo;Servicios Medicos Hospitalarios y Complementarios;0;31005;31005;0;0;0;0;31005;31005;0;0
530228 002;Bienes Y Servicios De Consumo;Servicios de Provision de Dispositivos Electronicos y Certificacion para Registro de Firmas Digitales;0;20;20;0;0;0;0;20;20;0;0
530229 002;Bienes Y Servicios De Consumo;Soporte al Usuario a traves de Centros de Servicios y Operadores Telefonicos;10000;0;10000;0;9270;0;0;730;10000;0;0
530239 002;Bienes Y Servicios De Consumo;Membrecias;2600;0;2600;0;0;0;0;2600;2600;0;0
530239 003;Bienes Y Servicios De Consumo;Membrecias;2288.72;11047.27;13335.99;0;0;0;0;13335.99;13335.99;0;0
530243 002;Bienes Y Servicios De Consumo;Garantia Extendida de Bienes;0;248101.12;248101.12;0;0;0;0;248101.12;248101.12;0;0
530244 002;Bienes Y Servicios De Consumo;Servicio de Confeccion de Menaje de Hogar y/o Prendas de Proteccion;0;753.3;753.3;0;0;0;0;753.3;753.3;0;0
530246 003;Bienes Y Servicios De Consumo;Servicios de Identificacion Marcacion Autentificacion Rastreo Monitoreo Seguimiento y o Trazabilidad;2050;0;2050;0;0;0;0;2050;2050;0;0
530248 003;Bienes Y Servicios De Consumo;Eventos Oficiales;0;5850;5850;0;0;0;0;5850;5850;0;0
530249 002;Bienes Y Servicios De Consumo;Eventos Publicos Promocionales;3250;1300;4550;0;0;0;0;4550;4550;0;0
530249 003;Bienes Y Servicios De Consumo;Eventos Publicos Promocionales;116100;59723;175823;5199;0;0;0;175823;175823;0;0
530255 001;Bienes Y Servicios De Consumo;Combustibles;0;10000;10000;0;0;0;0;10000;10000;0;0
530255 002;Bienes Y Servicios De Consumo;Combustibles;38727;-16773;21954;1992.32;0;0;0;21954;21954;0;0
530255 003;Bienes Y Servicios De Consumo;Combustibles;9773.54;-4973.54;4800;4800;0;0;0;4800;4800;0;0
530301 001;Bienes Y Servicios De Consumo;Pasajes al Interior;5200;13232.02;18432.02;50;0;0;0;18432.02;18432.02;0;0
530301 002;Bienes Y Servicios De Consumo;Pasajes al Interior;8400;-5745.66;2654.34;0;0;0;0;2654.34;2654.34;0;0
530301 003;Bienes Y Servicios De Consumo;Pasajes al Interior;5063.04;5727.47;10790.51;0;0;0;0;10790.51;10790.51;0;0
530302 001;Bienes Y Servicios De Consumo;Pasajes al Exterior;100000;-3517.34;96482.66;0;0;0;0;96482.66;96482.66;0;0
530302 002;Bienes Y Servicios De Consumo;Pasajes al Exterior;6000;-1500;4500;0;0;0;0;4500;4500;0;0
530302 003;Bienes Y Servicios De Consumo;Pasajes al Exterior;95595.86;-61141.38;34454.48;0;0;0;0;34454.48;34454.48;0;0
530303 001;Bienes Y Servicios De Consumo;Viaticos y Subsistencias en el Interior;46276;-21276;25000;3463.55;1536.45;0;0;23463.55;25000;0;0
530303 002;Bienes Y Servicios De Consumo;Viaticos y Subsistencias en el Interior;8395;-2155;6240;5000;0;0;0;6240;6240;0;0
530303 003;Bienes Y Servicios De Consumo;Viaticos y Subsistencias en el Interior;5000;27000;32000;29040;960;0;0;31040;32000;0;0
530304 002;Bienes Y Servicios De Consumo;Viaticos y Subsistencias en el Exterior;74196;-41502.11;32693.89;8097.92;0;0;0;32693.89;32693.89;0;0
530304 003;Bienes Y Servicios De Consumo;Viaticos y Subsistencias en el Exterior;0;93841.75;93841.75;39260.5;0;0;0;93841.75;93841.75;0;0
530307 003;Bienes Y Servicios De Consumo;Atencion a Delegados Extranjeros y Nacionales Deportistas Entrenadores y Cuerpo Tecnico que Representen al Pais;0;30000;30000;0;0;0;0;30000;30000;0;0
530402 002;Bienes Y Servicios De Consumo;Edificios Locales Residencias y Cableado Estructurado (Instalacion Mantenimiento y Reparacion);10000;258250;268250;0;0;0;0;268250;268250;0;0
530402 003;Bienes Y Servicios De Consumo;Edificios Locales Residencias y Cableado Estructurado (Instalacion Mantenimiento y Reparacion);3500;14730;18230;0;0;0;0;18230;18230;0;0
530403 001;Bienes Y Servicios De Consumo;Mobiliarios (Instalacion Mantenimiento y Reparacion);0;16566.56;16566.56;0;0;0;0;16566.56;16566.56;0;0
530403 002;Bienes Y Servicios De Consumo;Mobiliarios (Instalacion Mantenimiento y Reparacion);0;15050;15050;0;0;0;0;15050;15050;0;0
530403 003;Bienes Y Servicios De Consumo;Mobiliarios (Instalacion Mantenimiento y Reparacion);0;1100;1100;0;0;0;0;1100;1100;0;0
530404 001;Bienes Y Servicios De Consumo;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);7000;59498.08;66498.08;0;0;0;0;66498.08;66498.08;0;0
530404 002;Bienes Y Servicios De Consumo;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);10349.8;24404.42;34754.22;503.7;0;0;0;34754.22;34754.22;0;0
530404 003;Bienes Y Servicios De Consumo;Maquinarias y Equipos (Instalacion Mantenimiento y Reparacion);297262.05;-27494.7;269767.35;0;66;0;0;269701.35;269767.35;0;0
530405 001;Bienes Y Servicios De Consumo;Vehiculos (Servicio para Mantenimiento y Reparacion);2042;1332;3374;0;0;0;0;3374;3374;0;0
530405 002;Bienes Y Servicios De Consumo;Vehiculos (Servicio para Mantenimiento y Reparacion);8738;6434.33;15172.33;0;0;0;0;15172.33;15172.33;0;0
530405 003;Bienes Y Servicios De Consumo;Vehiculos (Servicio para Mantenimiento y Reparacion);8997.75;164.57;9162.32;0;0;0;0;9162.32;9162.32;0;0
530417 002;Bienes Y Servicios De Consumo;Infraestructura;0;150;150;0;0;0;0;150;150;0;0
530418 002;Bienes Y Servicios De Consumo;Mantenimiento de Areas Verdes y Arreglo de Vias Internas;44352;0;44352;0;0;0;0;44352;44352;0;0
530418 003;Bienes Y Servicios De Consumo;Mantenimiento de Areas Verdes y Arreglo de Vias Internas;0;9900;9900;0;0;0;0;9900;9900;0;0
530425 003;Bienes Y Servicios De Consumo;Instalacion Readecuacion Montaje de Exposiciones Mantenimiento y Reparacion de Espacios y Bienes Culturales;0;9625.17;9625.17;0;0;0;0;9625.17;9625.17;0;0
530502 002;Bienes Y Servicios De Consumo;Edificios Locales y Residencias Parqueaderos Casilleros Judiciales y Bancarios (Arrendamiento);0;50;50;0;0;0;0;50;50;0;0
530505 002;Bienes Y Servicios De Consumo;Vehiculos (Arrendamiento);500;-200;300;0;0;0;0;300;300;0;0
530601 001;Bienes Y Servicios De Consumo;Consultoria Asesoria e Investigacion Especializada;0;40000;40000;0;0;0;0;40000;40000;0;0
530601 002;Bienes Y Servicios De Consumo;Consultoria Asesoria e Investigacion Especializada;28572;62198.14;90770.14;0;0;0;0;90770.14;90770.14;0;0
530601 003;Bienes Y Servicios De Consumo;Consultoria Asesoria e Investigacion Especializada;40000;-7560;32440;0;0;0;0;32440;32440;0;0
530602 002;Bienes Y Servicios De Consumo;Servicio de Auditoria;1200;5800;7000;0;0;0;0;7000;7000;0;0
530606 002;Bienes Y Servicios De Consumo;Honorarios por Contratos Civiles de Servicios;2181926.62;-639800.98;1542125.64;481564.52;6772;0;0;1535353.64;1542125.64;0;0
530606 003;Bienes Y Servicios De Consumo;Honorarios por Contratos Civiles de Servicios;773537.55;-54548.97;718988.58;335546.2;0;0;0;718988.58;718988.58;0;0
530606 701;Bienes Y Servicios De Consumo;Honorarios por Contratos Civiles de Servicios;96708.23;0;96708.23;64619;0;0;0;96708.23;96708.23;0;0
530607 003;Bienes Y Servicios De Consumo;Servicios Tecnicos Especializados;4000;0;4000;0;0;0;0;4000;4000;0;0
530609 002;Bienes Y Servicios De Consumo;Investigaciones Profesionales y Analisis de Laboratorio;0;2960;2960;0;0;0;0;2960;2960;0;0
530609 003;Bienes Y Servicios De Consumo;Investigaciones Profesionales y Analisis de Laboratorio;3930;-1800;2130;0;0;0;0;2130;2130;0;0
530611 002;Bienes Y Servicios De Consumo;Congresos Seminarios y Convenciones;900;1600;2500;0;0;0;0;2500;2500;0;0
530611 003;Bienes Y Servicios De Consumo;Congresos Seminarios y Convenciones;600;35892.95;36492.95;0;0;0;0;36492.95;36492.95;0;0
530612 001;Bienes Y Servicios De Consumo;Capacitacion a Servidores Publicos;50000;-44531.91;5468.09;0;0;0;0;5468.09;5468.09;0;0
530612 002;Bienes Y Servicios De Consumo;Capacitacion a Servidores Publicos;16000;86948.03;102948.03;16406.57;0;0;0;102948.03;102948.03;0;0
