Institución;ESPOCH
Descripción;
Nombre del campo;Descripción del campo
No.;Número secuencial que identifica cada línea de los datos.
Apellidos y Nombres de los servidores y servidoras;Apellidos y nombres de la persona servidora pública de la entidad.
Puesto Institucional;Puesto ocupado por la persona servidora pública correspondiente.
Unidad a la que pertenece;Unidad a la que pertenece la persona servidora pública correspondiente.
Dirección institucional;Dirección a la que pertenece el puesto ocupado por la persona servidora pública correspondiente.
Ciudad en la que labora;Ciudad en la que labora la persona servidora pública correspondiente.
Teléfono institucional;Teléfono de la institución en la que labora la persona servidora pública correspondiente.
Extensión telefónica;Extensión telefónica a la que se contacta a la persona servidora pública correspondiente.
Correo Electrónico institucional;Correo electrónico de contacto de la persona servidora pública correspondiente.
