Numeración;Puesto Institucional;Regimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23952;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
2;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23879;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
3;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;5;PERSONAL ACADEMICO PRINCIPAL;3531,54;14.126,16;2.648,70;344,97;0;0;2.993,67
4;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23476;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
5;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23540;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
6;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2121;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
7;ANALISTA DE BIENES Y BODEGA 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2973;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
8;ANALISTA DE EVALUACION Y SEGUIMIENTO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2888;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
9;CONSERJE;2.CODIGO DEL TRABAJO;282;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
10;CONSERJE;2.CODIGO DEL TRABAJO;515;NIVEL 1;561;2.244,00;420,75;344,97;0;0;765,72
11;AYUDANTE DE MANTENIMIENTO;2.CODIGO DEL TRABAJO;242;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
12;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;310;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
13;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23808;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
14;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23669;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
15;DECANO/A DE VINCULACION;3.OTROS REGIMENES ESPECIALES;2462;AUTORIDADES ACADEMICAS NIVEL 2;4306,13;17.224,52;3.229,56;344,97;0;0;3.574,53
16;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23953;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
17;PROFESOR AGREGADO 3 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;20;PERSONAL ACADEMICO AGREGADO;4300;17.200,00;3.224,97;344,97;0;0;3.569,94
18;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;25;PERSONAL ACADEMICO PRINCIPAL;4025,42;16.101,68;3.019,05;344,97;0;0;3.364,02
19;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;235;NIVEL 1;557;2.228,00;417,78;344,97;0;0;762,75
20;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23670;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
21;ANALISTA DE EVALUACION DEL PERSONAL ACADEMICO 3;1.SERVICIO CIVIL PUBLICO (LOSEP);2935;UEP NIVEL PROFESIONAL A3;1760;7.040,00;1.320,03;344,97;0;0;1.665,00
22;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23834;PROFESOR UNIVERSITARIO;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
23;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;23741;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
24;CONTADOR /A GENERAL;1.SERVICIO CIVIL PUBLICO (LOSEP);17;UEP NIVEL DIRECTIVO A2;2000;8.000,00;1.500,03;344,97;0;0;1.845,00
