Institución;Nombre de la Entidad;;;;;;;;;;;;;;;;;;;;;;;;
Descripción ;Servicios que se ofrecen y forma de acceder a ellos - Formato y formulario de solicitudes ;;;;;;;;;;;;;;;;;;;;;;;;
Nombre del Campo;Descripción del campo;;;;;;;;;;;;;;;;;;;;;;;;
Denominación del servicio público que se brinda;Nombre del servicio que brinda la entidad;;;;;;;;;;;;;;;;;;;;;;;;
Enlace para acceder al reporte del servicio;"Enlace que permite acceder al reporte del servicio brindado (debe contener la siguiente información: descripción del servicio; a quién está dirigido; requisitos para acceder al servicio; procedimiento para acceder al servicio; costo del servicio; oficinas que ofrecen el servicio; horarios de atención; tiempo estimado de respuesta )";;;;;;;;;;;;;;;;;;;;;;;;
Número de personas que acceden mensualmente al servicio institucional;Registro mensual del número de ciudadanos/ciudadanas que acceden a los servicios que ofrece la institución;;;;;;;;;;;;;;;;;;;;;;;;
Enlace para descargar el formulario o formato del servicio (impreso) / Correo electrónico para solicitar el servicio;Enlace para poder descargar el formulario o formato del servicio;;;;;;;;;;;;;;;;;;;;;;;;
Enlace para el servicio por internet (en línea);Enlace para acceder al servicio en línea directamente;;;;;;;;;;;;;;;;;;;;;;;;
Enlace para la medición de la satisfacción de las personas que acceden a la oferta de servicios institucionales;Enlace para verificar en nivel de satisfacción de los ciudadanos que acceden a los servicios;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
