FECHA DE PUBLICACIÓN;CÓDIGO DEL PROCESO;TIPO DE PROCESO;OBJETO DEL PROCESO;PRESUPUESTO REFERENCIAL - USD;PARTIDA PRESUPUESTARIA;MONTO DE LA ADJUDICACIÓN (USD);ETAPA DE LA CONTRATACIÓN;IDENTIFICACIÓN DEL CONTRATISTA;LINK PARA DESCARGAR EL PROCESO DE CONTRATACIÓN DESDE EL PORTAL DE COMPRAS PÚBLICAS
14/3/2024;SIE-ESPOCH-2024-01;Subasta Inversa Electrónica;ADQUISICIÓN DE MEDICAMENTOS PARA EL CENTRO DE ATENCIÓN EN SALUD INTEGRAL – CASI.;;;16.600,87;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=SEw8uSo3YZt_hMksLx_pT-NF2jdTvA_YUwfKlRmYp4I,
22/3/2024;SIE-ESPOCH-2024-04;Subasta Inversa Electrónica;ADQUISICIÓN DE IMPLEMENTOS DEPORTIVOS DEL CENTRO DE DEPORTES DE LA ESPOCH;;;8.857,60;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=EQR0b6USt5a5w4saWan9O5sL7QTy9GXC4Ak0beoLoO4,
25/3/2024;SIE-ESPOCH-2024-02;Subasta Inversa Electrónica;Contratación del servicio de alquiler de carpas, mesas y sillas para el Decanato de Vinculación;;;7.614,00;Finalizada;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=XmK2DlfzC55p4RwdHYXaySJ4EmAvDXf0EbgDhympfWM,
27/3/2024;SIE-ESPOCH-2024-03;Subasta Inversa Electrónica;ADQUISICIÓN DE MATERIALES Y EQUIPOS ELECTRÓNICOS PARA PROYECTOS DE VINCULACIÓN DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;;;13.879,58;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=i3hgwC8ThHToTRNMzY2CoSw7MwKqgkiJ-mLixg1TsGA,
28/3/2024;SIE-ESPOCH-2024-06;Subasta Inversa Electrónica;"Adquisición de equipos de amplificación e instrumentos musicales para el Centro de Arte, Cultura e Interculturalidad; Decanato de Vinculación; Facultad de Informática y Electrónica de la Escuela Superior Politécnica de Chimborazo.";;;41.958,72;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Fjd2HSZxqLbLlv012zmowRqSV9h6lWwWSZR9ZcJf4V4,
1/4/2024;CDC-ESPOCH-2024-01;Contratación Directa;CONTRATACIÓN DE LA CONSULTORÍA PARA LA AUDITORÍA EXTERNA PARA DETERMINAR EL CUMPLIMIENTO DEL CARÁCTER NO LUCRATIVO DEL EJERCICIO FISCAL 2023 DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;;;14.900,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=C8IDuIkpgkvDlUJSPI6NjtbJeFOVeEl-iX6aVaLGeCY,
3/4/2024;SIE-ESPOCH-2024-05;Subasta Inversa Electrónica;ADQUISICIÓN DE MATERIA PRIMA, PARA EL LABORATORIO ESPECIALIZADO EN BALANCEADOS Y LAS ESTACIONES EXPERIMENTALES TUNSHI, PASTAZA, FÁTIMA, MOYOCANCHA Y CAMPUS RIOBAMBA. FACULTAD DE CIENCIAS PECUARIAS – ESPOCH;;;15.234,00;Finalizada;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=3_7Co3JKQ7EbLyylRd6S95pPMuCuR8jQkUlPgVyFgNY,
4/4/2024;SIE-ESPOCH-2024-08;Subasta Inversa Electrónica;ADQUISICIÓN DE CERTIFICADOS (INGLÉS B1 Y B2) PARA LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;;;32.400,00;Ejecución de Contrato;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=mlNp2HJpFs71yotEr1wXCedktPHARp63oOQgg6Lu-hw,
9/4/2024;SIE-ESPOCH-2024-09;Subasta Inversa Electrónica;ADQUISICIÓN DE SEÑALÉTICA Y ROTULACIÓN PARA LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;;;7.723,00;Desierta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=B-ug_NRphrZCFA6LR3eNEgoh_hTnbZ1b2YNhKzeijn8,
10/4/2024;SIE-ESPOCH-2024-10;Subasta Inversa Electrónica;Adquisición de suministros y materiales de limpieza para abastecer a las diferentes dependencias de la Escuela Superior Politécnica de Chimborazo-ESPOCH;;;8.177,92;Finalizada;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=2g1px3EWXpej84HT_LZIuIC0Fsqsk0ijmvo9eAMCZPI,
