Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1;RECTOR/A;3.OTROS REGIMENES ESPECIALES;2154;AUTORIDADES ACADEMICAS NIVEL 4;5,000.00;5,000.00;416.67;40.17;0.00;0.00;5,456.84
2;VICERRECTOR/A ACADEMICO;3.OTROS REGIMENES ESPECIALES;2156;AUTORIDADES ACADEMICAS NIVEL 3;4,818.96;4,818.96;401.58;40.17;0.00;30.17;5,290.88
3;VICERRECTOR/A DE INVESTIGACION Y POSGRADO;3.OTROS REGIMENES ESPECIALES;2466;AUTORIDADES ACADEMICAS NIVEL 3;4,640.11;4,640.11;386.68;40.17;0.00;0.00;5,066.96
4;VICERRECTOR/A ADMINISTRATIVO/A;3.OTROS REGIMENES ESPECIALES;2155;AUTORIDADES ACADEMICAS NIVEL 3;4,640.11;4,640.11;386.68;40.17;0.00;0.00;5,066.96
5;DECANO/A ACADEMICO/A;3.OTROS REGIMENES ESPECIALES;2461;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;4,306.13;358.84;40.17;0.00;0.00;4,705.14
6;DECANO/A DE DESARROLLO ACADEMICO;3.OTROS REGIMENES ESPECIALES;2164;AUTORIDADES ACADEMICAS NIVEL 2;4,700.00;4,700.00;391.67;40.17;0.00;0.00;5,131.84
7;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2149;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;4,306.13;358.84;40.17;0.00;0.00;4,705.14
8;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2147;AUTORIDADES ACADEMICAS NIVEL 2;4,700.00;4,700.00;391.67;40.17;0.00;0.00;5,131.84
9;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2148;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;4,306.13;358.84;40.17;0.00;0.00;4,705.14
10;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2153;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;4,306.13;358.84;40.17;0.00;0.00;4,705.14
11;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2151;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;4,306.13;358.84;40.17;0.00;0.00;4,705.14
12;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2150;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;4,306.13;358.84;40.17;0.00;0.00;4,705.14
13;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2152;AUTORIDADES ACADEMICAS NIVEL 2;4,472.85;4,472.85;372.74;40.17;0.00;0.00;4,885.76
14;DECANO/A DE INVESTIGACIONES;3.OTROS REGIMENES ESPECIALES;2467;AUTORIDADES ACADEMICAS NIVEL 2;4,700.00;4,700.00;391.67;40.17;0.00;0.00;5,131.84
15;DECANO/A DE POSGRADO;3.OTROS REGIMENES ESPECIALES;2139;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;4,306.13;358.84;40.17;0.00;0.00;4,705.14
16;DECANO/A DE PUBLICACIONES;3.OTROS REGIMENES ESPECIALES;2468;AUTORIDADES ACADEMICAS NIVEL 2;4,818.96;4,818.96;401.58;40.17;0.00;0.00;5,260.71
17;DECANO/A DE TELEEDUCACION;3.OTROS REGIMENES ESPECIALES;9;AUTORIDADES ACADEMICAS NIVEL 2;4,700.00;4,700.00;391.67;40.17;0.00;0.00;5,131.84
