TIPO;DESCRIPCI‡N;ENLACE
REGLAMENTO;ESTATUTO DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO DE REGIMEN ACADEMICO DE LA ESPOCH;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO PARA LA DISTRIBUCION Y CUMPLIMIENTO DE LA JORNADA LABORAL DEL PERSONAL ACADêMICO;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO PARA EL FUNCIONAMIENTO DEL CONSEJO POLITECNICO;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO DE ARRENDAMIENTO DE LAS INSTALACIONES Y ESPACIOS DE LA ESPOCH;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO PARA LOS PROCESOS DE AUTOEVALUACION INSTITUCIONAL, DE CARRERAS Y PROGRAMAS DE POSGRADO DE LA ESPOCH;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO DE ADMISION Y NIVELACION AL POSGRADO DE LA ESPOCH;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO DE EVALUACION INTEGRAL DEL DESEMPE•O DEL PERSONAL ACADEMICO DE LA ESPOCH;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO DE ELECCIONES DE LA ESPOCH;NORMATIVA INSTITUCIONAL
REGLAMENTO;POLITICAS ACADEMICAS INSTITUCIONALES DEL PER÷ODO ACADêMICO OCTUBRE 2024 ? MARZO;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO DE COMISIONES DE LA GESTION ACADEMICA DE GRADO;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO DE ADMISION PARA ASPIRANTES A LA ESPOCH;NORMATIVA INSTITUCIONAL
REGLAMENTO;REGLAMENTO PARA EL USO DE VEHICULOS DE LA ESPOCH;NORMATIVA INSTITUCIONAL
