Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
RECTORADO;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;TRAMITES ADMINISTRATIVOS DEL RECTORADO DESPACHADOS DENTRO DEL PLAZO ESTABLECIDO;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
DIRECCIÓN DE PLANIFICACIÓN;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;PLAN ANUAL DE INVERSION 2025;1;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;PROYECTOS DE INVERSION INSTITUCIONAL;100%;
;;PLAN OPERATIVO ANUAL 2025;1;
;;REFORMAS A LOS PLANES OPERATIVOS E INVERSION;100%;
;;PROFORMA PRESUPUESTARIA ANUAL;1;
;;INFORME DE CUMPLIMIENTO Y EJECUCION PRESUPUESTARIA;100%;
;;MONITOREO A LA EJECUCION PRESUPUESTARIA INSTITUCIONAL;100%;
;;INFORME DE CUMPLIMIENTO Y EJECUCION PRESUPUESTARIA;100%;
;;MONITOREO A LA EJECUCION PRESUPUESTARIA INSTITUCIONAL;100%;
;;DOCUMENTOS ELABORADOS Y/O ACTAS;100%;
;;INFORME DE EVALUACIÓN PEDI;100%;
;;INFORME DE EVALUACIÓN POA;100%;
;;INFORME DE EVALUACIÓN PAI;100%;
;;INFORME DE CUMPLIMIENTO LOTAIP;100%;
;;INFORME DE RENDICIÓN DE CUENTAS;100%;
DIRECCIÓN DE PROCESOS Y MEJORA CONTINUA;MEJORAR LA EFICIENCIA, EFICACIA Y EFECTIVIDAD DE LOS PROCESOS, PRODUCTOS Y SERVICIOS INSTITUCIONALES;PROCESOS PRIORITARIOS INSTITUCIONALES IDENTIFICADOS;100%;https://drive.google.com/file/d/1a9gwRXCf0Df2gCjoR0DP9JQECuVG6NGQ/view
;;INFORMATIZACION DE LOS MODULOS REQUERIDOS;100%;
