Institucion;ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO
Descripcion;Viaticos Nacionales e Internacionales
Nombre del campo;Descripción del campo
Nombres y Apellidos;Apellidos y nombres de las personas funcionarias
Puesto Institucional;Puesto ocupado por la persona funcionaria correspondiente
Tipo;Tipo de viaje realizado, como nacional o internacional
Fecha de inicio del viaje;Fecha en la que inicio el viaje
Fecha de fin del viaje;Fecha en la que finalizo el viaje
Motivo del viaje;Razon o proposito del viaje realizado por la persona funcionaria
Valor del viatico;Monto asignado como viatico para cubrir gastos durante el viaje
Enlace para descargar el informe y justificativo;Enlace para acceder y descargar el informe y justificativos que muestran un detalle de los viaticos 
