Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1;RECTOR/A;3.OTROS REGIMENES ESPECIALES;2154;AUTORIDADES ACADEMICAS NIVEL 4;5,000.00;10,000.00;833.34;80.33;0.00;0.00;10,913.67
2;VICERRECTOR/A ACADEMICO;3.OTROS REGIMENES ESPECIALES;2156;AUTORIDADES ACADEMICAS NIVEL 3;4,818.96;9,637.92;803.16;80.33;0.00;0.00;10,521.41
3;VICERRECTOR/A DE INVESTIGACION Y POSGRADO;3.OTROS REGIMENES ESPECIALES;2466;AUTORIDADES ACADEMICAS NIVEL 3;4,640.11;9,280.22;773.36;80.33;0.00;0.00;10,133.91
4;VICERRECTOR/A ADMINISTRATIVO/A;3.OTROS REGIMENES ESPECIALES;2155;AUTORIDADES ACADEMICAS NIVEL 3;4,640.11;9,280.22;773.36;80.33;0.00;0.00;10,133.91
5;DECANO/A ACADEMICO/A;3.OTROS REGIMENES ESPECIALES;2461;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;8,612.26;717.68;80.33;0.00;0.00;9,410.27
6;DECANO/A DE DESARROLLO ACADEMICO;3.OTROS REGIMENES ESPECIALES;2164;AUTORIDADES ACADEMICAS NIVEL 2;4,700.00;9,400.00;783.34;80.33;0.00;0.00;10,263.67
7;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2149;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;8,612.26;717.68;80.33;0.00;0.00;9,410.27
8;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2147;AUTORIDADES ACADEMICAS NIVEL 2;4,700.00;9,400.00;783.34;80.33;0.00;0.00;10,263.67
9;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2148;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;8,612.26;717.68;80.33;0.00;0.00;9,410.27
10;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2153;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;8,612.26;717.68;80.33;0.00;0.00;9,410.27
11;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2151;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;8,612.26;717.68;80.33;0.00;0.00;9,410.27
12;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2150;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;8,612.26;717.68;80.33;0.00;0.00;9,410.27
13;DECANO/A DE FACULTAD;3.OTROS REGIMENES ESPECIALES;2152;AUTORIDADES ACADEMICAS NIVEL 2;4,472.85;8,945.70;745.48;80.33;0.00;0.00;9,771.51
14;DECANO/A DE INVESTIGACIONES;3.OTROS REGIMENES ESPECIALES;2467;AUTORIDADES ACADEMICAS NIVEL 2;4,700.00;9,400.00;783.34;80.33;0.00;0.00;10,263.67
15;DECANO/A DE POSGRADO;3.OTROS REGIMENES ESPECIALES;2139;AUTORIDADES ACADEMICAS NIVEL 2;4,306.13;8,612.26;717.68;80.33;0.00;0.00;9,410.27
