FECHA DE PUBLICACIÓN;CÓDIGO DEL PROCESO;TIPO DE PROCESO;OBJETO DEL PROCESO;PRESUPUESTO REFERENCIAL - USD;PARTIDA PRESUPUESTARIA;MONTO DE LA ADJUDICACIÓN - USD;ETAPA DE LA CONTRATACIÓN;IDENTIFICACIÓN DEL CONTRATISTA;LINK PARA DESCARGAR EL PROCESO DE CONTRATACIÓN DESDE EL PORTAL DE COMPRAS PÚBLICAS
16/3/2026 18:00;CPC-ESPOCH-2026-01 ;CONSULTORÍA;CONTRATACIÓN DE LA CONSULTORÍA DE AUDITORÍA EXTERNA PARA DETERMINAR EL CUMPLIMIENTO DEL CARÁCTER NO LUCRATIVO DEL EJERCICIO FISCAL 2025 DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;19900;01 00 000 001 530602 0601 003 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=k3myqZszV5Ze3btyFLtyj1c4MEueYmusWaNTt7OVf_I,
20/3/2026 18:00;LICO-ESPOCH-2026-001 ;LICITACIÓN ;MANTENIMIENTO DEL EDIFICIO DE LABORATORIOS DE LAS CARRERAS DE GASTRONOMÍA NUTRICIÓN Y DIETÉTICA ESPOCH CAMPUS RIOBAMBA;70000;82 00 025 001 750501 0601 003 0000 0000;;Preguntas, Respuestas y Aclaraciones;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=XP43y2-nS1sXdCobTg7aQFiZTI3XoNKNhzoKeVC6U3k,
30/3/2026 18:00;LICO-ESPOCH-2026-002 ;LICITACIÓN;ADECUACIONES EN LOS EDIFICIOS NO. UA3N05 120 04 - UA3N05 120 24 - UA3N05 120 25 DE LA FACULTAD DE CIENCIAS;150000;82 00 025 001 750501 0601 003 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ouQjYlGpr6YOe052HXC6qa27weZVLo8yHaQGYK6WP_s,
17/3/2026 18:00;LICO-ESPOCH-2026-005 ;LICITACIÓN;ADECUACION DE LA BIBLIOTECA DE LA FACULTAD DE CIENCIAS PECUARIAS;230000;83 00 025 001 750501 0601 003 0000 0000;;Preguntas, Respuestas y Aclaraciones;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ouQjYlGpr6YOe052HXC6qa27weZVLo8yHaQGYK6WP_s,
24/3/2026 18:00;LICS-ESPOCH-2026-001 ;LICITACIÓN;CONTRATACIÓN DE LOS SERVICIOS DE AGENCIAS DE VIAJES PARA LA EMISIÓN DE PASAJES AÉREOS EN RUTAS NACIONALES E INTERNACIONALES PARA LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;241858,69;01 00 000 001 530301 0601 001 0000 0000;;Convalidacion de Errores;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=9At59WiT0gVCKVWaG9hMo6xUQB_1N_FNOFARcjdkkB8,
2/3/2026 18:00;SIE-ESPOCH-2026-02 ;SUBASTA INVERSA ELECTRÓNICA;ADQUISICIÓN DE EQUIPOS DE LABORATORIO PARA SEDE ORELLANA DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;563824;82 00 030 001 840104 0601 003 0640 009;;Por Adjudicar;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=fepx2C-V7x0XBkNkixD9bc_r6pyHSvl39a7spaAr0Hw,
6/3/2026 16:00;SIE-ESPOCH-2026-04 ;SUBASTA INVERSA ELECTRÓNICA;CONTRATACIÓN DEL SERVICIO DE LICENCIAMIENTO ACADÉMICO Y ALMACENAMIENTO EN LA NUBE DE MICROSOFT;67000,47;01 00 000 001 530702 0601 003 0000 0000;;Por Adjudicar;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=F4KUqYyIMJUgm8EaWZjEvhNXAs_aKqy4-BoUjk01FLE,
10/3/2026 18:00;SIE-ESPOCH-2026-05 ;SUBASTA INVERSA ELECTRÓNICA;ADQUISICIÓN DE MEDICAMENTOS PARA USO EN EL CENTRO DE ATENCIÓN Y SALUD INTEGRAL CASI – ESPOCH;31250;01 00 000 001 530809 0601 003 0000 0000;;Por Adjudicar;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=1fEPF3QjpZrzD6rW9qOSki6RDI-hHpSjvkdokODel58,
9/3/2026 18:00;SIE-ESPOCH-2026-06 ;SUBASTA INVERSA ELECTRÓNICA;CONTRATACIÓN DE SERVICIOS MÉDICOS PARA LA REALIZACIÓN DE EXÁMENES OCUPACIONALES A LOS SERVIDORES DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO – AÑO 2026;16511;01 00 000 001 530609 0601 001 0000 0000;;Entrega de Propuesta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=wL7xLaZvmPziD8xN7jCK013q7R7CYBPs6wqYwSzCK9M,
28/2/2026;;CATÁLOGO ELECTRÓNICO;;25,623,99;;25,623,99;;;LISTADO CATALOGO ELECTRONICO MARZO 2026.pdf
