Institución;Escuela Superior Politécnica de Chimborazo
Descripción;Responsables de la Información Pública
Nombre del Campo;Descripción del campo
Apellidos y Nombres;Apellidos y Nombres de la persona servidora pública
Denominación del puesto;Nombre del puesto ocupado por la persona servidora pública
Responsabilidad LOTAIP;Nivel de responsabilidad en el marco de la LOTAIP
Dirección de la oficina;Dirección de la oficina en que labora la persona servidora pública
Número telefónico;Número telefónico de contacto de la persona servidora pública
Extensión telefónica;Extensión para comunicarse al número telefónico de la persona servidora pública
Correo electrónico;Correo electrónico de contacto de la persona servidora pública 
