Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
RECTORADO;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;NÚMERO DE DISPOSICIONES DEL RECTOR TRAMITADAS Y REGISTRADAS EN EL SISTEMA DE GESTIÓN DOCUMENTAL.;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
DIRECCIÓN DE PLANIFICACIÓN;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;PLAN ANUAL DE INVERSION 2026;1;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;PROYECTOS DE INVERSION INSTITUCIONAL;100%;
;;PLAN OPERATIVO ANUAL 2026;1;
;;REFORMAS A LOS PLANES OPERATIVOS E INVERSION;100%;
;;PROFORMA PRESUPUESTARIA ANUAL;1;
;;INFORME DE CUMPLIMIENTO Y EJECUCION PRESUPUESTARIA;100%;
;;MONITOREO A LA EJECUCION PRESUPUESTARIA INSTITUCIONAL;100%;
;;PLAN ESTRATÉGICO DE DESARROLLO INSTITUCIONAL;100%;
;;INFORME DE EVALUACIÓN PEDI;100%;
;;INFORME DE EVALUACIÓN POA;100%;
;;INFORME DE EVALUACIÓN PAI;100%;
;;INFORME DE RENDICIÓN DE CUENTAS;100%;
DIRECCIÓN DE PROCESOS Y MEJORA CONTINUA;MEJORAR LA EFICACIA DE LOS PROCESOS, PRODUCTOS Y SERVICIOS INSTITUCIONALES;NÚMERO DE DOCUMENTOS PRECONTRACTUALES ELABORADOS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;MODELO DE MEDICIÓN DEL GRADO DE SATISFACCIÓN DE USUARIOS INTERNOS Y EXTERNOS SOBRE LOS SERVICIOS ACADÉMICOS Y NO ACADÉMICOS DE LA ESPOCH;1;
;;ESTRATEGIA PARA EL SEGUIMIENTO DE LOS PLANES DE MEJORA INSTITUCIONALES;1;
;;INFORME DE ANÁLISIS SOBRE EL GRADO DE PERCEPCIÓN DE USUARIOS INTERNOS Y EXTERNOS SOBRE SERVICIOS INSTITUCIONALES ACADÉMICOS Y NO ACADÉMICOS DE LA ESPOCH;1;
DIRECCIÓN DE EVALUACIÓN Y ACREDITACIÓN;EJECUTAR PROCESOS DE EVALUACIÓN INTEGRAL DEL DESEMPEÑO DEL PERSONAL ACADÉMICO CONFORME EL MARCO NORMATIVO NACIONAL E INSTITUCIONAL.;INSTRUMENTOS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;INFORME DEL PROCESO DE EVALUACIÓN DOCENTE.;;
;;RESOLUCIÓN DE APROBACIÓN DEL INFORME DEL PROCESO DE EVALUACIÓN DOCENTE.;100%;
DIRECCIÓN JURÍDICA;SALVAGUARDAR LOS INTERESES INSTITUCIONALES A TRAVES DE LA DEFENSA INSTITUCIONAL EN EL AMBITO ADMINISTRATIVO, JUDICIAL Y EXTRAJUDICIAL;ASESORAMIENTO LEGAL;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;SERVICIO DE ASESORIA CONTRATADO;1;
;;SERVICIO DE CONSULTORIA LOYAL;1;
SECRETARÍA GENERAL Y DOCUMENTACIÓN;FORTALECER LA GESTIÓN ADMINISTRATIVA INSTITUCIONAL DE LA ESPOCH.;NOTIFICACION DE RESOLUCIONES DE CONSEJO POLITÉCNICO;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;REGISTRO DE TITULOS;100%;
;;SOCIALIZACIÓN DE LA NORMATIVA DE GESTIÓN DOCUMENTAL Y ARCHIVO;1;
DIRECCIÓN FINANCIERA;FORTALECER LA GESTION ADMINISTRATIVA INSTITUCIONAL DE ESPOCH.;CUMPLIMIENTO CONTABLE DE LA INSTITUCION;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;EJECUCION PRESUPUESTARIA;100%;
;;EJECUCIÓN DEL FLUJO NORMAL DE ACTIVIDADES Y PROCESOS FINANCIEROS DE LA ESPOCH;100%;
DIRECCIÓN DE RELACIONES INTERNACIONALES;IMPULSAR LA GESTION INTEGRAL DE INTERNACIONALIZACION EN LA ESPOCH PARA CONSOLIDAR UNA COMUNIDAD POLITECNICA GLOBALMENTE CONECTADA, PROMOVIENDO LA EXCELENCIA EDUCATIVA, LA DIVERSIDAD CULTURAL Y EL INTERCAMBIO DE CONOCIMIENTOS EN UN ENTORNO PLURICULTURAL Y EN CONSTANTE INNOVACION.;GESTION Y PARTICIPACION ESTRATEGICA DE EVENTOS DE INTERNACIONALIZACION DE EDUCACION SUPERIOR;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;IMPLEMENTACION DE ACCIONES ESTRATEGICAS PARA FOMENTAR UNA CULTURA GLOBAL EN LA ESPOCH;100%;
;;PARTICIPACION ESTRATEGICA EN REDES INTERNACIONALES;100%;
