Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución
510000;EGRESOS EN PERSONAL;Salarios Unificados;1532036,16;20110,7;1552146,86;0;247801,04;247801,04;247801,04;1304345,82;1304345,82;0;15,97
510000;EGRESOS EN PERSONAL;Remuneracion Mensual Unificada de Docentes del Magisterio y Docentes e Investigadores Universitarios;13704453,36;58576,95;13763030,31;0;2242225,59;2242225,59;2242225,59;11520804,72;11520804,72;0;16,29
510000;EGRESOS EN PERSONAL;Compensacion por Transporte;23568;-1207;22361;0;3463,5;3463,5;3463,5;18897,5;18897,5;0;15,49
510000;EGRESOS EN PERSONAL;Aporte Patronal;3796544,7;-25032,34;3771512,36;0;625287,41;625287,41;625287,41;3146224,95;3146224,95;0;16,58
530000;BIENES Y SERVICIOS DE CONSUMO;Espectaculos Culturales y Sociales;60000;120000;180000;0;0;0;0;180000;180000;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Pasajes al Exterior;187769,8;26652,1;214421,9;71500;0;0;0;214421,9;214421,9;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Mobiliarios (Instalacion Mantenimiento y Reparacion);1500;-1500;0;0;0;0;0;0;0;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento de Areas Verdes y Arreglo de Vias Internas;9398,11;-9398,11;0;0;0;0;0;0;0;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Servicio de Auditoria;34673,09;0;34673,09;34673,09;0;0;0;34673,09;34673,09;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para uniformes del personal de Proteccion Vigilancia y Seguridad;114695,75;-3091,76;111603,99;27119,5;0;0;0;111603,99;111603,99;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Materiales de Aseo;97605,03;-53990,76;43614,27;1003,2;0;0;0;43614,27;43614,27;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Materiales de Impresion Fotografia Reproduccion y Publicaciones;30662,32;14905,49;45567,81;0;0;0;0;45567,81;45567,81;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Insumos Bienes y Materiales para Produccion de Programas de Radio Television Eventos Culturales Artisticos y Entretenimiento en General;12139;7100,39;19239,39;0;0;0;0;19239,39;19239,39;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;0;11460;11460;0;0;0;0;11460;11460;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Materiales de Oficina;0;942,2;942,2;0;0;0;0;942,2;942,2;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Materiales de Impresion Fotografia Reproduccion y Publicaciones;0;90;90;0;0;0;0;90;90;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Medicamentos;0;50,5;50,5;0;0;0;0;50,5;50,5;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Suministros para Actividades Agropecuarias Pesca y Caza;0;2626;2626;0;0;0;0;2626;2626;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Insumos Materiales Suministros y Bienes para Investigacion;0;174833,59;174833,59;0;0;0;0;174833,59;174833,59;0;0
780000;TRANSFERENCIAS O DONACIONES PARA INVERSION;Transferencias o Donaciones al Sector Privado no Financiero;0;14000;14000;0;0;0;0;14000;14000;0;0
510000;EGRESOS EN PERSONAL;Decimo Tercer Sueldo;3160599,87;228524,36;3389124,23;0;220052,97;220052,97;220052,97;3169071,26;3169071,26;0;6,49
510000;EGRESOS EN PERSONAL;Encargos;26000;10061,34;36061,34;0;5022;5022;5022;31039,34;31039,34;0;13,93
530000;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;4635,26;5638,83;10274,09;0;0;0;0;10274,09;10274,09;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Semovientes;4273,17;-4273,17;0;0;0;0;0;0;0;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Agua de Riego;4845;451,98;5296,98;4751,98;545;545;545;4751,98;4751,98;0;10,29
530000;BIENES Y SERVICIOS DE CONSUMO;Indumentaria Prendas de proteccion Accesorios y Otros;2500;500;3000;0;0;0;0;3000;3000;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Materiales Didacticos;557,7;-11,17;546,53;0;0;0;0;546,53;546,53;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Derivados de Hidrocarburos para la Comercializacion Interna;0;20;20;0;0;0;0;20;20;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Egresos para Sanidad Agropecuaria;39986,31;4199,67;44185,98;0;0;0;0;44185,98;44185,98;0;0
710000;EGRESOS EN PERSONAL PARA INVERSION;Beneficio por Jubilacion;1185020;-1131920;53100;0;0;0;0;53100;53100;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Pasajes al Interior;0;11000;11000;0;0;0;0;11000;11000;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Materiales de Aseo;0;300;300;0;0;0;0;300;300;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Instrumental Medico Quirurgico;0;195,2;195,2;0;0;0;0;195,2;195,2;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Dispositivos Medicos para Odontologia;0;515,2;515,2;0;0;0;0;515,2;515,2;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Partes y Repuestos;0;0;0;0;0;0;0;0;0;0;0
840000;EGRESOS DE CAPITAL;Vehiculos;0;590879,51;590879,51;115426,47;0;0;0;590879,51;590879,51;0;0
840000;EGRESOS DE CAPITAL;Equipos Sistemas y Paquetes Informaticos;1041914,05;605038,79;1646952,84;0;0;0;0;1646952,84;1646952,84;0;0
510000;EGRESOS EN PERSONAL;Alimentacion;182744;-3856;178888;0;27708;27708;27708;151180;151180;0;15,49
510000;EGRESOS EN PERSONAL;Servicios Personales por Contrato de Docentes del Magisterio y Docentes e Investigadores Universitarios;18894633;-149869,92;18744763,08;0;3201308,9;3201308,9;3201308,9;15543454,18;15543454,18;0;17,08
530000;BIENES Y SERVICIOS DE CONSUMO;Mobiliario;55344,49;-12166,27;43178,22;0;0;0;0;43178,22;43178,22;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Viaticos y Subsistencias en el Exterior;90682,53;51317,47;142000;0;291,6;291,6;291,6;141708,4;141708,4;0;0,21
530000;BIENES Y SERVICIOS DE CONSUMO;Atencion a Delegados Extranjeros y Nacionales Deportistas Entrenadores y Cuerpo Tecnico que Representen al Pais;87423,6;-8953,11;78470,49;67056,43;42,75;42,75;42,75;78427,74;78427,74;0;0,05
530000;BIENES Y SERVICIOS DE CONSUMO;Lubricantes;6152,46;8131,41;14283,87;2592,58;0;0;0;14283,87;14283,87;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Medicamentos;22435;11020;33455;31250;0;0;0;33455;33455;0;0
