Institución;Escuela Superior Politécnica de Chimborazo
Descripción;"Remuneraciones salariales; licencia de servicio y comisión de servicio "
Nombre del Campo;Descripción del campo
Numeración;Número secuencial que identifica cada línea de los datos
Puesto Institucional ;Puesto ocupado por la persona servidora pública correspondiente
Régimen laboral al que pertenece ;"Conjunto de leyes; normas y regulaciones que rigen la relación de trabajo"
Número de partida presupuestaria;Asignación presupuestaria específica que se destina para cubrir los gastos relacionados con el salario
Grado jerárquico o escala al que pertenece el puesto;Posición relativa del puesto dentro de una estructura organizativa o jerárquica
Remuneración mensual unificada;Salario mensual correspondiente al pago de la persona servidora pública 
Remuneración unificada (anual);Salario anual correspondiente al pago de la persona servidora pública
Décimo Tercera Remuneración;"Salario adicional equivalente a un mes de salario completo; calculado sobre la base del promedio mensual de las remuneraciones percibidas por la persona servidora pública durante el año fiscal"
Décima Cuarta Remuneración;Salario adicional equivalente a un mes de salario completo, que se paga a la persona servidora publica en dos cuotas durante el año
Horas suplementarias y extraordinarias;"Horas trabajadas que exceden la jornada laboral establecida en el contrato de trabajo; pero que no superan el límite legal establecido"
Encargos y subrogaciones;Situaciones en las que un empleado asume temporalmente las responsabilidades y funciones de otra persona funcionaria  o de un cargo superior debido a circunstancias específicas
Total ingresos adicionales;Suma total de los ingresos que la persona servidora pública recibe además de su salario base o remuneración principal
