TIPO;RESOLUCIÓN ;CONVENIO ;FECHA DE SUSCRIPCIÓN ;DURACIÓN;Enlace para descargar el convenio 
NACIONAL;043.CP.2024;CONVENIO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE EL INSTITUTO SUPERIOR TECNOLÓGICO RIOBAMBA Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO PARA ESTABLECER MECANISMOS DE COORDINACIÓN, INTERACCIÓN, COOPERACIÓN Y RECIPROCIDAD ENTRE LAS DOS INSTITUCIONES, PROMOVIENDO LA REALIZACIÓN DE ACTIVIDADES DE INTERÉS Y BENEFICIO MUTUO A TRAVÉS DE OBLIGACIONES CONJUNTAS, CON EL PROPÓSITO DE DESARROLLAR ACTIVIDADES QUE PERMITAN AMPLIAR CONOCIMIENTOS E IMPULSAR LA FORMACIÓN DE ESTUDIANTES DE LOS INSTITUTOS TÉCNICOS Y TECNOLÓGICOS DENTRO DEL ÁMBITO DE COMPETENCIA TANTO DEL INSTITUTO COMO DE LA COOPERANTE. RUC: 0660001250001;"23/02/2024



";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
INTERNACIONAL;044.CP.2024;ACUERDO DE PARTICIPACIÓN EN EL PROGRAMA GUNI INTERNATIONAL CALL TO ACTION;"01/01/2024





";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;068.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL PARA EL DESARROLLO DE PRÁCTICAS PRE PROFESIONALES ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y TELCOMEXPERT EXPERTOS EN TELECOMUNICACIONES S.A.;"13-05-2024








";2 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;084.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA EMPRESA C&V INGENIERÍA CÍA. LTDA. Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;"31-05-2024








";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;086.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO, EL CENTRO DE TURISMO COMUNITARIO LA MOYA Y OPERADORA DE VIAJES EQUATUR”;"12-06-2024









";4 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;087.CP.2024;CONVENIO MARCO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE EL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN LOGROÑO Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO”;"08-04-2024










";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
INTERNACIONAL;114.CP.2024;MEMORANDO DE ENTENDIMIENTO (MOU) ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO EN RIOBAMBA, ECUADOR, Y LA JUNTA DE FIDUCIARIOS DE LA FLORIDA ATLANTIC EN BOCA RATON, FLORIDA, EE. UU.;"20-02-2024







";3 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
INTERNACIONAL;141.CP.2024;CONVENIO DE COLABORACIÓN ENTRE ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO, ECUADOR Y UNIVERSIDAD DE SANTIAGO DE CHILE, CHILE;"20-03-2024








";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;156.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE CA. ECUATORIANA DE CERÁMICA Y LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO, PARA FORTALECER LA FORMACIÓN ACADÉMICA DE LOS ESTUDIANTES DE LA CARRERA DE INGENIERÍA QUÍMICA MEDIANTE LA REALIZACIÓN DE PRÁCTICAS PRE PROFESIONALES Y TRABAJOS DE TITULACIÓN;"22-03-2024









";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
NACIONAL;157.CP.2024;CONVENIO ESPECÍFICO DE COOPERACIÓN INTERINSTITUCIONAL ENTRE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO Y EL GAD DEL MUNICIPIO DE RIOBAMBA PARA LA EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN;"21-03-2024




";5 AÑOS;https://liveespochedu-my.sharepoint.com/:f:/g/personal/vinculacion_convenios_espoch_edu_ec/EtCQybPKj3RFovTOJYoz0IIB3EgeigSsAcJmCyomK6-EqA?e=9hYYFr
